price,description,charge_type,DateUpdated
239.59670588235292,DIPHTH TETANUS/POLIO/HIB,standard,2020-03-09
240.19105263157894,IBUTILIDE INJ 0.1 MG/ML 10 ML,standard,2020-03-09
241.59055408970977,ROMIPLOSTIM INJ 250 MCG *R*,standard,2020-03-09
242.9278849721707,ARSENIC TRIOXIDE 2MG/ML INJ,standard,2020-03-09
243.51959542887167,DURVALUMAB 50 MG/ML 10 ML INJ,standard,2020-03-09
247.54095168374818,ALTEPLASE 2MG SYRINGE,standard,2020-03-09
248.63484731748565,ROMIPLOSTIM INJ 500 MCG *R*,standard,2020-03-09
257.02474860335195,ISOSULFAN BLUE *R* INJ 1% 5 ML,standard,2020-03-09
257.16625,PROCAINAMIDE INJ 100 MG/ML 10,standard,2020-03-09
257.9,TREPROSTINIL INJ 100 MG,standard,2020-03-09
260.3691105769231,TREPROSTINIL INJ1MG/ML20ML*NF*,standard,2020-03-09
270.278,TREPROSTINIL INJ 50 MG,standard,2020-03-09
280.0,BACLOFEN IT 0.05 MG SCREEN KIT,standard,2020-03-09
284.6666711833785,ALTEPLASE *R* INJ 2 MG/2 ML,standard,2020-03-09
285.8726747345023,ALTEPLASE *R* INJ 100 MG,standard,2020-03-09
286.3546153846154,HEPATITIS B VAC INJ MCG/1ML,standard,2020-03-09
294.5651388888889,DIHYDROERGOTAMINE INJ 1 MG/ML,standard,2020-03-09
305.1036363636364,HYALURONIDASE VL 200U/ML 1.2ML,standard,2020-03-09
305.62858520900323,PNEUMOCOCCAL VAC INJ 25 MCG/0.,standard,2020-03-09
323.05,NILOTINIB CAP 150 MG *NF*,standard,2020-03-09
329.90999999999997,HEPATITIS HB VAC INJ 40 MCG/ML,standard,2020-03-09
345.7,LINEZOLID IV SY 2 MG/ML *R*,standard,2020-03-09
359.4875,ROTAVIRUS VACC MONOVALENT POWD,standard,2020-03-09
364.8496923076923,CEFTOLOZAN/TAZOBACTAM INJ.05GM,standard,2020-03-09
369.0468571428571,AMOBARBITAL INJ 500 MG,standard,2020-03-09
381.0592895683453,ERIBULIN INJ .5MG/ML 2ML *NF*,standard,2020-03-09
381.9350415777922,INJ    INFLIXIMAB    10 MG,standard,2020-03-09
419.9801769911505,VARICELLA VAC INJ 0.5 ML,standard,2020-03-09
424.6523023715415,ZOLEDRONIC-MANNITOL 5 MG/100ML,standard,2020-03-09
449.25,INJ    GLATIRAMER    PER DOSE,standard,2020-03-09
476.3821052631579,ANAKINRA INJ 100MG/.67ML *NF*,standard,2020-03-09
510.64352647352644,CABAZITAXEL 60MG/1.5ML,standard,2020-03-09
515.91,HEPATITIS B IMMUNE GLOBULIN IN,standard,2020-03-09
561.5098546511629,GLUCAGON INJ 1 MG,standard,2020-03-09
577.5,BACLOFEN IT 10MG/20ML KIT,standard,2020-03-09
584.74,HYALURONATE INJ 40 MG/2 ML LL,standard,2020-03-09
588.4082392026578,PNEUMOCOCCAL 13-VALENT VACCINE,standard,2020-03-09
605.8600621118012,OCTREOTIDE DEPOT 20MG INJ,standard,2020-03-09
606.12,OCTREOTIDE DEPOT 30MG INJ,standard,2020-03-09
616.47,DAUNORUBICIN-CYTARABINE LIPOSO,standard,2020-03-09
667.9643181818182,TACROLIMUS INJ 5 MG/ML,standard,2020-03-09
681.1365887207703,TRYPAN BLUE 0.06% OS 0.5ML,standard,2020-03-09
694.03,USTEKINUMAB 90MG/1.0ML SYR,standard,2020-03-09
718.4996000000001,INJ    DEXRAZOXANE    PER 250 MG,standard,2020-03-09
752.5,BACLOFEN IT 40MG/20ML KIT,standard,2020-03-09
757.038125,ECULIZUMAB INJ 10 MG/ML 30 ML,standard,2020-03-09
797.608,RABIES IMMUNE SERUM INJ 300 U,standard,2020-03-09
842.2737074148297,RABIES IMMUNE GLOB INJ 150U/ML,standard,2020-03-09
847.0,AZITHROMYCIN IV SY 2 MG/ML D5W,standard,2020-03-09
888.6520948180815,RASBURICASE INJ 1.5 MG,standard,2020-03-09
942.5127272727273,CONJUGATED ESTROGENS INJ 25 MG,standard,2020-03-09
1100.2687362954414,PLERIXAFOR *NF* SYRNGE 20MG,standard,2020-03-09
1222.1925,INJ    ETHANOLAMINE    100 MG,standard,2020-03-09
1234.3233333333335,PHENTOLAMINE 5MG INJ,standard,2020-03-09
1374.061224489796,PENTOBARBITAL 50MG/ML INJ,standard,2020-03-09
1433.2983333333332,DIGOXIN INJ 100 MCG/ML,standard,2020-03-09
1444.2400000000002,INJ    TETANUS    UP TO 250 UNITS,standard,2020-03-09
1506.834,PALIVIZUMAB IV SY 100 MG/ML,standard,2020-03-09
1643.8905263157897,CIDOFOVIR INJ 375 MG,standard,2020-03-09
1702.0125714285714,ANTITHYMOCYTE GLOB RABBIT INJ,standard,2020-03-09
3080.0,HEXAMINOLEVULINATE 100MG,standard,2020-03-09
3660.81,LEUPROLIDE DEPOT INJ 11.25MG,standard,2020-03-09
3745.0,DORNASE ALFA5MG/30ML INTPL SOL,standard,2020-03-09
3748.6722222222224,ADALIMUMAB INJ 40MG,standard,2020-03-09
3973.1299999999997,INJ    CYTOMEGALOVIRUS    PER VIAL,standard,2020-03-09
4784.46,PALIVIZUMAB LYOPH VL 50MG,standard,2020-03-09
5058.34,DACTINOMYCIN 0.5 MG INJ,standard,2020-03-09
5952.27,ANTITHYMOCYTE INJ 50 MG/ML 5 M,standard,2020-03-09
6094.38,IDARUCIZUMAB INJ 2500MG/50ML,standard,2020-03-09
7272.215973451327,INOTUZUMAB 0.9MG INJ,standard,2020-03-09
8396.844823008849,CALCITONIN SALMON INJ 200 U/ML,standard,2020-03-09
10122.000828402366,INJ    BASILIXIMAB    20 MG,standard,2020-03-09
11056.036,INJ    DIGOXIN IMM FAB    PER VIAL,standard,2020-03-09
12682.460000000001,PEGFILGRASTIM SYR 6MG/0.6ML,standard,2020-03-09
14700.0,COPANLISIB 15MG/ML INJ 4ML,standard,2020-03-09
16870.74123287671,PEGFILGRASTIM INJ 6MG/0.6ML,standard,2020-03-09
1305500.0,YESCARTA ADULT,standard,2020-03-09
0.95,WILATE VWF PER IU (CRD HLT),standard,2020-03-09
0.96,RIASTAP FIBRIN 100MG (CRD HLT),standard,2020-03-09
1.24,NUWIQ HEMOPHILIA FACTOR VIII,standard,2020-03-09
1.3226282766850148,BENEFIX FACTOR 9,standard,2020-03-09
6.63,COAGADEX FACTOR-X     PER 1IU,standard,2020-03-09
78.0,RHOGAM RHIG IM,standard,2020-03-09
0.9377230725913792,HEMOFIL M,standard,2020-03-09
0.95,HUMATE P,standard,2020-03-09
1.0,KOGENATE FS,standard,2020-03-09
1.1883516847029911,ADVATE,standard,2020-03-09
1.4605625092033574,BENEFIX,standard,2020-03-09
1.85,NOVOSEVEN,standard,2020-03-09
1386.2947368421053,TOLVAPTAN TAB 15MG *R*,standard,2020-03-09
1299.15,TOLVAPTAN TAB 30MG *R*,standard,2020-03-09
28.405216065073716,TROPICAMIDE 1% OPTH SOLN 3ML,standard,2020-03-09
0.14,VORICONAZOLE 100MCG/0.1ML OPTH,standard,2020-03-09
2878.0,E/R VISIT TO INPT,standard,2020-03-09
196.0,ER TRIAGE-URGENT CARE,standard,2020-03-09
926.0,LEVEL 1,standard,2020-03-09
1157.0,LEVEL 2,standard,2020-03-09
1495.0,LEVEL 3,standard,2020-03-09
1969.0,LEVEL 4,standard,2020-03-09
2878.0,LEVEL 5,standard,2020-03-09
4239.0,LEVEL 6,standard,2020-03-09
4235.0,ENDOSCOPY SUITE INITIAL 30 MINS,standard,2020-03-09
413.0,ENDOSCOPY SUITE EACH ADDL 15 MINS,standard,2020-03-09
995.8999999999999,12 HOLE 2.7 ADAPTION PLATE,standard,2020-03-09
1025.78,2.4 LCP ADAPTION PLATE,standard,2020-03-09
2310.0,25KHZ BRCUDA SPETZLER TIP SNPT,standard,2020-03-09
10.54,3 WAY STOPCOCK W/ROT ADAPTER,standard,2020-03-09
278.5,ACC PORT W/BLDLSS OPTICAL5X100,standard,2020-03-09
288.05,ACC PORT W/BLDLSS OPTICL12X100,standard,2020-03-09
298.31,ACC PORT W/BLDLSS OPTICL12X120,standard,2020-03-09
2786.0,ACTIVA NEUROSTIM PT PROGRAMER,standard,2020-03-09
8918.0,ADAPTA SINGLE PACEMAKER 12CC,standard,2020-03-09
5.18,ADAPTER IV DBL MALE LL,standard,2020-03-09
36.96,ADAPTER SWIVEL BRONCHIOSCOPE,standard,2020-03-09
378.0,ADL TRANSSEPTA NDL 18GX98CM,standard,2020-03-09
4144.0,ADMIRAL PTA CATH 4X120MMX130CM,standard,2020-03-09
3724.0,ADMIRAL PTA CATH 4X40MMX130CM,standard,2020-03-09
4144.0,ADMIRAL PTA CATH 5X120MMX130CM,standard,2020-03-09
2327.5,ADMIRAL PTA CATH 5X40MMX130CM,standard,2020-03-09
3724.0,ADMIRAL PTA CATH 5X60MMX130CM,standard,2020-03-09
3724.0,ADMIRAL PTA CATH 6X120MMX130CM,standard,2020-03-09
3724.0,ADMIRAL PTA CATH 6X40MMX130CM,standard,2020-03-09
3724.0,ADMIRAL PTA CATH 6X60MMX130CM,standard,2020-03-09
3724.0,ADMIRAL PTA CATH 7X40MMX130CM,standard,2020-03-09
546.0,AMANDA PTA CATH 5X100X135CM,standard,2020-03-09
560.0,ARMADA PTA CATH 4X120MMX135CM,standard,2020-03-09
560.0,ARMADA PTA CATH 4X80MMX135CM,standard,2020-03-09
560.0,ARMADA PTA CATH 5X80X135CM,standard,2020-03-09
560.0,ARMADA PTA CATH 6X100MMX135CM,standard,2020-03-09
560.0,ARMADA PTA CATH 6X20MMX135CM,standard,2020-03-09
560.0,ARMADA PTA CATH 6X40MMX135CM,standard,2020-03-09
560.0,ARMADA PTA CATH 6X80MMX135CM,standard,2020-03-09
280.0,ASAHI PTCA XT-A GUIDEWIRE300CM,standard,2020-03-09
546.0,ASPIRA LUER ADAPTER,standard,2020-03-09
154.0,ASSEMBLY OPTIC FIBER PICK STR,standard,2020-03-09
2044.0,ATLAS PTA CATH 12F 4X24X75CM,standard,2020-03-09
1049.58,ATLAS PTA CATH 18MM 6X75CM,standard,2020-03-09
322.0,BAL DIL PTA CATH 7MMX2X110CM,standard,2020-03-09
490.0,BALL DIL CATH PTA 4X200MMX75CM,standard,2020-03-09
574.0,BALL PTA CATH 6F 6MMX4X75CM,standard,2020-03-09
38.5,BEVEL UP-ANG OPTH KNIFE 2.3MM,standard,2020-03-09
2100.0,BIB PTA BALL CATH 18MMX4.5CM,standard,2020-03-09
24.26,BIOPSY VALVE ADAPTER,standard,2020-03-09
150.95999999999998,BLADE BEAVERGUARD OPTH .35MM,standard,2020-03-09
288.05,BLDLSS OPTICL ACC PORT 12X100,standard,2020-03-09
57.4,BLU OPTH DRAPE 65X100IN,standard,2020-03-09
11.690000000000001,BODAI PEEP SAFE ADAPTER,standard,2020-03-09
472.5,BRK-1 TRANSEPTAL NDL 18GX98CM,standard,2020-03-09
350.0,BRK-1 TRANSSEPTA NDL 71CM,standard,2020-03-09
1453.76,CAPIO SLIM SUT CAPTURNG DEVICE,standard,2020-03-09
262.5,CARDIODRVE HEMOSTAT ADAPTER-SJ,standard,2020-03-09
18611.6,CARDIOFORM SEPTAL OCCLUDR 20MM,standard,2020-03-09
18611.6,CARDIOFORM SEPTAL OCCLUDR 25MM,standard,2020-03-09
18611.6,CARDIOFORM SEPTAL OCCLUDR 30MM,standard,2020-03-09
386.4,CATH BAL DIL PTA 10MMX2X135CM,standard,2020-03-09
322.0,CATH BAL DIL PTA 9MMX2X110CM,standard,2020-03-09
252.0,CATH BAL DIL PTCA 2.25X17MM,standard,2020-03-09
252.0,CATH BAL DIL PTCA 2.5X14MM,standard,2020-03-09
210.0,CATH BAL DIL PTCA 2.5X9MM,standard,2020-03-09
252.0,CATH BAL DIL PTCA 2X12MM,standard,2020-03-09
252.0,CATH BAL DIL PTCA 2X9MM,standard,2020-03-09
252.0,CATH BAL DIL PTCA 3X14MM,standard,2020-03-09
252.0,CATH BAL DIL PTCA 3X9MM,standard,2020-03-09
210.0,CATH BAL DIL PTCA NC 2.25X10MM,standard,2020-03-09
252.0,CATH BAL DIL PTCA NC 2.25X15MM,standard,2020-03-09
210.0,CATH BAL DIL PTCA NC 2.25X8MM,standard,2020-03-09
217.63636363636363,CATH BAL DIL PTCA NC 2.5X10MM,standard,2020-03-09
252.0,CATH BAL DIL PTCA NC 2.5X15MM,standard,2020-03-09
231.0,CATH BAL DIL PTCA NC 2.5X18MM,standard,2020-03-09
238.0,CATH BAL DIL PTCA NC 2.5X8MM,standard,2020-03-09
238.0,CATH BAL DIL PTCA NC 2.75X10MM,standard,2020-03-09
252.0,CATH BAL DIL PTCA NC 2.75X15MM,standard,2020-03-09
252.0,CATH BAL DIL PTCA NC 2.75X18MM,standard,2020-03-09
224.0,CATH BAL DIL PTCA NC 3.5X10MM,standard,2020-03-09
252.0,CATH BAL DIL PTCA NC 3.5X15MM,standard,2020-03-09
231.0,CATH BAL DIL PTCA NC 3.5X8MM,standard,2020-03-09
210.0,CATH BAL DIL PTCA NC 3X10MM,standard,2020-03-09
238.0,CATH BAL DIL PTCA NC 3X15MM,standard,2020-03-09
252.0,CATH BAL DIL PTCA NC 3X18MM,standard,2020-03-09
252.0,CATH BAL DIL PTCA NC 3X8MM,standard,2020-03-09
252.0,CATH BAL DIL PTCA NC 4.5X15MM,standard,2020-03-09
252.0,CATH BAL DIL PTCA NC 4.5X8MM,standard,2020-03-09
252.0,CATH BAL DIL PTCA NC 4X10MM,standard,2020-03-09
252.0,CATH BAL DIL PTCA NC 4X15MM,standard,2020-03-09
252.0,CATH BAL DIL PTCA NC 4X8MM,standard,2020-03-09
252.0,CATH BAL DIL PTCA RX 4X14MM,standard,2020-03-09
560.0,CATH BAL OTW PTA 12X20MMX75CM,standard,2020-03-09
7000.0,CATH BAL PTA 5FX4X220MMX130CM,standard,2020-03-09
27.130000000000003,CHECK-FLO ACCESSORY ADAPTER,standard,2020-03-09
308.0,CHOICE PT GUIDEWIRE .014X300CM,standard,2020-03-09
392.0,COAX UMBILICAL CATH ADAPTER,standard,2020-03-09
647.5,CRYO CATH UMBIL ADAPTER,standard,2020-03-09
0.04,GRN VORTEX ROUTER 4.5MM,standard,2020-03-09
0.04,AORTIC VALVE CAUTERY DEV,standard,2020-03-09
0.06999999999999999,8PLY GAUZE SPONGE 2X2,standard,2020-03-09
0.07,8PLY STL SPONGE GAUZE 2X2IN,standard,2020-03-09
0.09,MONOJECT A-BEV NDL,standard,2020-03-09
0.10999999999999999,COTTON TIP APPLICATOR 6IN,standard,2020-03-09
0.11,STL TONGUE DEPRESSOR 6IN,standard,2020-03-09
0.11,25GA NDL 5/8 IN,standard,2020-03-09
0.11,BEVELED HYPO NDL 26GX1.5IN,standard,2020-03-09
0.12,HYPO NDL 26GA X 0.5IN,standard,2020-03-09
0.13983688833124214,LUER LOCK MONOJECT SYR 3CC,standard,2020-03-09
0.17929166666666668,STL SPONGE GAUZE 4X4IN,standard,2020-03-09
0.25,PNK VACUTAINER PLAS TUBE 6ML,standard,2020-03-09
0.26,STL SURG SLEEVE,standard,2020-03-09
0.28,TELFA STER GAUZE PAD 3X4IN,standard,2020-03-09
0.32,LUER LOCK SYR W/O TIP 12CC,standard,2020-03-09
0.32,LUER LOCK SYR W/O TIP 6CC,standard,2020-03-09
0.39,SPONGE PEANUT,standard,2020-03-09
0.39,RAYON TIP APPLICATOR 8IN,standard,2020-03-09
0.51,SS SURG RAZOR BLADE MED NO15,standard,2020-03-09
0.53,HYPO SAFE NDL 18G X 1-1/2IN,standard,2020-03-09
0.5599999999999999,HYPO SAFE NDL 18G X 1IN,standard,2020-03-09
0.6000000000000001,HYPO SAFE NDL 20G X 1-1/2IN,standard,2020-03-09
0.6000000000000001,HYPO SAFE NDL 22G X 1-1/2IN,standard,2020-03-09
0.63,HYPO SAFE NDL 25G X 5/8IN,standard,2020-03-09
0.63,HYPO SAFE NDL 25G X 1.5IN,standard,2020-03-09
0.67,MONOJCT LUER LOCK TIP SYR 20CC,standard,2020-03-09
0.74,TEGADERM TRANS DSG 1.75X1.75,standard,2020-03-09
0.77,CARBON STL SURG BLADE NO.11,standard,2020-03-09
0.77,SS CARBON SURG BLADE SZ:15,standard,2020-03-09
0.8099999999999999,TB SAFE SYR 1CC 28GX1/2IN,standard,2020-03-09
0.9799999999999999,LAP SPONGE W/RING 18X18,standard,2020-03-09
1.0,RESIDENT PROGRAM AMO TORIC IOL,standard,2020-03-09
1.0,PUDDLE SUCTION FLOOR VAC,standard,2020-03-09
1.0499999999999998,SS RIB SURG CARBON BLADE SZ15,standard,2020-03-09
1.05,LAP SPONGE W/RING 12X12,standard,2020-03-09
299.5,CUST CVC ANTISEPT PACK 7FX20CM,standard,2020-03-09
1.0886972255729794,HYPO PLAST LL SYR 60CC,standard,2020-03-09
1.1199999999999999,MONOJECT LL-TIP SYR 60CC,standard,2020-03-09
1.1199999999999999,NEO/DURAPRN SURG GLOVE SZ:6,standard,2020-03-09
1.12,MONOJECT CAT-TIP SYR 60CC,standard,2020-03-09
1.12,SPEC CONTAINER 4OZ,standard,2020-03-09
1.1400000000000001,SPR-GRIP NONCON ANCHOR 5-12MM,standard,2020-03-09
1.15,CYLINDRICAL SPONGE 1/2X1/2,standard,2020-03-09
1.15,BALL COTTON STRUNG XRAY 0.75IN,standard,2020-03-09
1.15,BALL COTTON STRUNG XRAY 0.25IN,standard,2020-03-09
1.1600000000000001,A/PURPOSE URETHRAL CATH 14FR,standard,2020-03-09
1.2,A/PURPOSE URETHRAL CATH 16FR,standard,2020-03-09
1.21,TELFA SURG SPONGE 0.50X3.0IN,standard,2020-03-09
1.23,12 PLY SPONGE GAUZE DSG 4X4IN,standard,2020-03-09
1.23,URETHRAL CATH 22FR 16IN,standard,2020-03-09
1.26,LUER LOCK SYRINGE 20CC,standard,2020-03-09
1.28,FLEX STRAW FILTER 5MCN 4IN,standard,2020-03-09
1.29,TELFA SURG SPONGE 1.0X3.0IN,standard,2020-03-09
1.3299999999999998,SS SURG BLADE SIZE:15,standard,2020-03-09
1.33,SURG PATTIE SPONGE 0.5X0.5,standard,2020-03-09
1.35,HYPOALL HAIR/BODY SHAMPOO 2OZ,standard,2020-03-09
1.36,TELFA SURG SPONGE 0.25X3.0IN,standard,2020-03-09
1.38,SURG PATTIE SPONGE 0.5X2.0,standard,2020-03-09
1.3900000000000001,HYPO SYRINGE LUER LOCK STL60CC,standard,2020-03-09
1.4,SURG PATTIE SPONGE 0.5X3.0,standard,2020-03-09
1.4,SURG PATTIE SPONGE 1.0X3.0,standard,2020-03-09
1.44,POLYSORB 2-0 V-20 SUT 30IN,standard,2020-03-09
1.7199999999999998,YANKAUER HIGH CAP SUCTION TUBE,standard,2020-03-09
1.72,PENROSE DRAIN 0.25IN,standard,2020-03-09
1.75,LARGE ABDUCTION PILLOW,standard,2020-03-09
1.79,TICRON PRE BLU 1-0 SUT 18IN,standard,2020-03-09
1.79,X-RAY DETECT SPONGE 4X4IN,standard,2020-03-09
1.82,BIO AVS CERV 0DEG W/PLUG 7MM,standard,2020-03-09
1.8599999999999999,PRE-CUT SOFSILK 0-0 SUT 30IN,standard,2020-03-09
1.9033333333333333,STL LUER LOCK SYRINGE 30CC,standard,2020-03-09
2.03,SMALL YANKAUER SUCTION TUBE,standard,2020-03-09
2.07,CAUTERY TIP CLEANER,standard,2020-03-09
2.1,PVC FEEDING TUBE 8F,standard,2020-03-09
2.1,PVC FEEDING TUBE 5F,standard,2020-03-09
2.23,TRANSPORE TAPE 1IN X 10YD,standard,2020-03-09
290.5,CUTTER BONE PT BLADE ORN 5.5MM,standard,2020-03-09
2.24,PRIMAPORE ADHES DSG  4.25X4IN,standard,2020-03-09
2.35,IRRIG BULB SYR 60CC,standard,2020-03-09
2.42,STD PENROSE DRAIN 0.375X18IN,standard,2020-03-09
2.4200000000000004,MALE LL IV TBG EXT 4.0ML 30IN,standard,2020-03-09
2.4299999999999997,SURG PATTIE SPONGE 0.25X3.0,standard,2020-03-09
2.45,ADH STERI STRIP DRAPE 17X11IN,standard,2020-03-09
2.45,SURG PATTIE SPONGE 0.25X0.25,standard,2020-03-09
2.45,SYR IRRIG BULB PLAST 60CC,standard,2020-03-09
2.45,1 WAY STOPCOCK W/SWIVEL NUT,standard,2020-03-09
2.4899999999999998,IV START KIT W/CHG STD TRAY,standard,2020-03-09
2.4899999999999998,REG TIP SKIN MARKER,standard,2020-03-09
2.63,CLR PRECUT SUCT TBG 6MMX12FT,standard,2020-03-09
2.7,LIGHT HANDLE COVER GLOVE,standard,2020-03-09
2.75,BLD COLL CATH 21G 3/4 10IN TBG,standard,2020-03-09
2.77,SOFSILK 2-0 V20 SUT REEL 98IN,standard,2020-03-09
2.8,SOFSILK 2-0 PRE-CUT SUT 18IN,standard,2020-03-09
2.8,BLK SOFSILK 1 PRE-CUT SUT 30IN,standard,2020-03-09
2.87,BLK SOFSILK 2 PRE-CUT SUT 30IN,standard,2020-03-09
2.91,ALC WIPE PISTON IRRIG SYR,standard,2020-03-09
3.01,SOFSILK 3-0 PRE-CUT SUT 18IN,standard,2020-03-09
3.01,SOFSILK 2-0 PRE SUT 18IN,standard,2020-03-09
3.05,SOF ROLL CAST PAD 6IN,standard,2020-03-09
3.11,FLOSEAL ENDO APPLICATOR 15CM,standard,2020-03-09
3.19,SOFSILK 2-0 V-20 SUT 30IN,standard,2020-03-09
3.2600000000000002,STERI STRIP DSG 1/2X4IN,standard,2020-03-09
3.2600000000000002,SURG TAPE STRIP DRAPE 4X18IN,standard,2020-03-09
3.33,WEBRIL CAST PAD 4INX4YD,standard,2020-03-09
3.36,SUT SOFSILK 2-0 C-15 18IN BLK,standard,2020-03-09
3.36,SOFSILK 5 BLK PRE SUT 24IN,standard,2020-03-09
3.5,SIL VESSEL LOOP WHT .04X16IN,standard,2020-03-09
3.5,HALF SHEET DRAPE,standard,2020-03-09
3.5,MONARCH III D CARTRIDGE,standard,2020-03-09
3.5,SYRINGE LUER LCK 60CC,standard,2020-03-09
3.71,DSG GAUZE XEROFLO 5 X 9,standard,2020-03-09
3.75,SURGIGUT 2-0 SUT 30IN GS-21,standard,2020-03-09
3.75,WEBRIL-II STL SPONGE 4X4IN,standard,2020-03-09
3.82,COBAN SELF ADHESIVE BNDG 3IN,standard,2020-03-09
3.8200000000000003,SUT SOFSILK 3-0 18IN BLK C-13,standard,2020-03-09
3.85,POLYSORB STD 0 VIO SUT 60IN,standard,2020-03-09
3.92,MONOSOF 3-0 C-16 3 SUT BLK,standard,2020-03-09
3.92,POLYSORB STD 0 U/D SUT 60IN,standard,2020-03-09
3.96,POLYSORB 3-0 V-20 SUT 27IN,standard,2020-03-09
3.9600000000000004,POLYSORB 2-0 V-20 SUT 30IN,standard,2020-03-09
3.98,GUIDE BAREWIRE FLTR.014X315CM,standard,2020-03-09
4.0,SPINAL NEEDLE 22GA X 3.5IN,standard,2020-03-09
4.03,COBAN LF COHESIVE BNDG 3INX5YD,standard,2020-03-09
4.06,VIO POLYSORB 0 V-20 SUT 30IN,standard,2020-03-09
4.1,MONOSOF BLK C-16 SUT 3-0 30IN,standard,2020-03-09
4.13,POLYSORB 4-0 V-20 SUT 30IN,standard,2020-03-09
4.13,MONOSOF BLK FS-2 SUT 4-0 18IN,standard,2020-03-09
4.13,POLYSORB 0 V-20 U/D SUT 30IN,standard,2020-03-09
4.13,SKN BARRIER W/MOLD-TO-FIT 57MM,standard,2020-03-09
4.13,SKN BARRIER W/MOLD-TO-FIT 70MM,standard,2020-03-09
4.13,DRAIN POUCH W/O FLTR 12IN 70MM,standard,2020-03-09
4.17,SURG SKIN MARKER W/RULER,standard,2020-03-09
4.17,NDL FREE IV CONNECTOR 325PSI,standard,2020-03-09
4.2,POLYSORB 6-0 CV-23 SUT 30IN,standard,2020-03-09
4.2,FLOPPY AXIS WIRE .035X9X180CM,standard,2020-03-09
4.2700000000000005,SS NEEDLE ELECTRODE 1IN,standard,2020-03-09
4.31,POLYSORB 2-0 GS-11 SUT 30IN,standard,2020-03-09
4.34,BIOSYN 3-0 V-20 SUT 30IN,standard,2020-03-09
4.340000000000001,TRANSPORE TAPE 2INX10YD,standard,2020-03-09
4.35,BIOSYN 3-0 CV-23 SUT 30IN,standard,2020-03-09
4.38,GUT CHROMIC 3-0 V-20 SUT 30IN,standard,2020-03-09
4.38,CHROMIC GUT 2-0 V-20 SUT 30IN,standard,2020-03-09
4.54,NEO/DURAPRN P/F SURG GLOVE 8.5,standard,2020-03-09
4.55,SS CAUTERY BLADE ELEC 1IN,standard,2020-03-09
4.55,LUBRICANT JELLY FLIP TOP 2OZ,standard,2020-03-09
4.59,CYSTOLOGY BRUSH 2.0MM,standard,2020-03-09
4.62,CHROMIC GUT 4-0 CV-23 SUT 30IN,standard,2020-03-09
4.62,SURGIGUT SUT 4-0 CV-23 30IN,standard,2020-03-09
4.7299999999999995,POLYSORB 3-0 REEL SUT 60IN,standard,2020-03-09
4.83,PRE-CUT SOFSILK 2-0 SUT 30IN,standard,2020-03-09
4.83,SURGIPRO BLU 4-0 SC-2 SUT 30IN,standard,2020-03-09
4.86,SPINAL NDL 22GX3-1/2IN,standard,2020-03-09
4.94,POLYSORB 0 GU-46 VIO SUT 30IN,standard,2020-03-09
4.97,MAXON GRN 4-0 C V-23 SUT 30IN,standard,2020-03-09
4.97,GRN MAXON 0 GS-21 SUT 30IN,standard,2020-03-09
4.970000000000001,PRE-CUT SOFSILK 3-0 SUT 30IN,standard,2020-03-09
5.01,FANFOLD SURG DRAPE 56X77,standard,2020-03-09
5.079999999999999,25G WHITACRE SPINAL NDL 3.5IN,standard,2020-03-09
5.08,SPINAL NEEDLE 20G X 3.5IN,standard,2020-03-09
5.08,POLYSORB SUT 0 30 U/D GS-22,standard,2020-03-09
5.08,TEGADERM TRANS DSG 4 X 4.75,standard,2020-03-09
5.11,SPINAL NEEDLE 18G X 3.5IN,standard,2020-03-09
5.18,POLYSORB GU-46 0 VIO SUT 36IN,standard,2020-03-09
5.18,GRN MAXON 1 GS-21 SUT 30IN,standard,2020-03-09
5.18,MAXON GRN 3-0 30 T-31 SUT,standard,2020-03-09
5.22,BLU SURGIPRO 0 GS-21 SUT 30IN,standard,2020-03-09
5.22,IV SAFETY CATH 14GA 1X1.25IN,standard,2020-03-09
5.25,SURGIPRO BLU 2-0 C-17 SUT 30IN,standard,2020-03-09
5.25,IV SAFETY CATH 14GA 2.2X50MM,standard,2020-03-09
5.25,FORCE FIBER SUT SZ2 W/NDL 38IN,standard,2020-03-09
5.290000000000001,SURGIPRO 2-0 GS-22 SUT 30IN,standard,2020-03-09
5.319999999999999,SPINAL NEEDLE 22G X 1.5IN,standard,2020-03-09
5.359999999999999,MEROCEL INST WIPE,standard,2020-03-09
5.43,SURGIPRO GS-21 SUT 1-0 30IN,standard,2020-03-09
5.43,NDL COUNTER FOAM/MAG/BLK 40/70,standard,2020-03-09
5.5,BIOSYN 3-0 P-12 U/D SUT 18IN,standard,2020-03-09
5.53,UROSTOMY POUCH 1.75 FLANGE,standard,2020-03-09
5.6,CUSTOM STOPCOCK KIT,standard,2020-03-09
5.640000000000001,FOAM HEAD POSITIONER CRADLE,standard,2020-03-09
5.71,LG URINARY DRAINAGE BAG,standard,2020-03-09
5.72,BARON FRAZIER SUC TBG 5FR,standard,2020-03-09
5.88,MASTISOL SKIN PREP SOL 2/3CC,standard,2020-03-09
6.0200000000000005,TOPICAL SKIN ADHESIVE 0.7ML,standard,2020-03-09
6.09,BIPOLAR CORD,standard,2020-03-09
6.21,COTTON UMBILICAL TAPE 1/8X36IN,standard,2020-03-09
6.3,DUAL PORT TOURN CUFF 18X3IN,standard,2020-03-09
6.34,GORETEX THX-26 CV2 SUT 36IN,standard,2020-03-09
