UF Health Shands Gainesville - Pricing Transparency Charge Master,,
Issued 7/1/2019,,
"NOTE: prices identified as ""Mark Up' encompass multiple items with different prices based item markup",,
,,
BILLING_DESC,UNIT,PRICE
CYTOGEN TISSUE CULT BONE MARROW ,EACH,"1,040.00"
CYTOGEN TISSUE CULT BONE MARROW ,EACH,858.00
CYTOKINE PANEL 12 ,EACH,45
CYTOLOGY BRUSH ,EACH,423
CYTOLOGY BRUSH ,EACH,40
CYTOLOGY BRUSH ,EACH,90.00
CYTOLOGY BRUSH- ERCP ,EACH,204
CYTOMEGALOVIRUS IGG AB ,EACH,27
CYTOMEGALOVIRUS IGM AB ,EACH,26
CYTOMEGALOVIRUS IMMUNE GLOB IV INJ [14634],50 mL,5224.8
CYTOMEGALOVIRUS IMMUNE GLOB IV INJ [14634],1  x 50 mL Vial,5224.8
CYTOPATH CONSULT COMPELX ,EACH,MarkUp
CYTO-SEMEN MORPHOLOGY ,EACH,46
CYTO-THIN PREP PAP SMEAR 1 ,EACH,138
D CURVE (NAV) SOFT TIP ABL ,EACH,"4,800.00"
D STAT FLOWABLE ,EACH,403
D5 LR POT CHLORIDE 20MEQ 1L ,EACH,89.00
D5W 500ML ,EACH,80.00
DABIGATRAN ETEXILATE MESYLATE 150 MG PO CAPS [139536],1 each,24.1
DABIGATRAN ETEXILATE MESYLATE 75 MG PO CAPS [140444],1 each,24.1
DACARBAZINE 200 MG IV CUSTOM COMPONENT UF SOLR [404172],200 mg,76.8
DACARBAZINE 200 MG IV CUSTOM COMPONENT UF SOLR [404172],1 each,76.8
DACLATASVIR DIHYDROCHLORIDE 60 MG PO TABS [405362],1 each,2700
DACTINOMYCIN 0.5 MG IV CUSTOM COMPONENT UF SOLR [404173],1 each,6860.4
DACTINOMYCIN 0.5 MG IV CUSTOM COMPONENT UF SOLR [404173],1 each,6170.4
DACTINOMYCIN 0.5 MG IV SOLR [28912],1 each,6170.4
DAK TEST L-CYSTEINE HCL 50 MG/ML IV SOLN [405736],50 mL,213.4
DAKINS (1/2 STRENGTH) 0.25 % EX SOLN [15950],1  x 473 mL Bottle,61.4
DAKINS (1/4 STRENGTH) 0.125 % EX SOLN [76724],1  x 473 mL Bottle,61.4
DAKINS 0.5 % EX SOLN [23251],1  x 473 mL Bottle,61.4
DALBAVANCIN HCL 500 MG IV SOLR [157945],500 mg,6234.6
DALTEPARIN SODIUM 12500 UNIT/0.5ML SC SOLN [144295],1  x .5 mL Syringe,443.2
DALTEPARIN SODIUM 2500 UNIT/0.2ML SC SOLN [144292],1  x .2 mL Syringe,130.5
DANAZOL 100 MG PO CAPS [9714],1 each,16.4
DANAZOL 200 MG PO CAPS [2120],1 each,27.3
DANTROLENE PO LIQUID 5 MG/ML [404399],100 mL,48
DANTROLENE SODIUM 100 MG PO CAPS [9717],1 each,6.6
DANTROLENE SODIUM 20 MG IV SOLR [9716],20 mg,311.3
DANTROLENE SODIUM 20 MG IV SOLR [9716],1 each,311.3
DANTROLENE SODIUM 25 MG PO CAPS [9718],1 each,3.9
DANTROLENE SODIUM 250 MG IV SUSR [158191],1 each,9700.1
DAPSONE 100 MG PO TABS [2131],1 each,10.1
DAPSONE 25 MG PO TABS [2132],1 each,8.3
DAPSONE 50 MG PO TAB (INPATIENT) [402194],1 each,3.2
DAPSONE PO LIQD 2 MG/ML [402044],100 mL,6.3
DAPTOMYCIN 500 MG INJECTION COMPONENT FOR INTRATHECAL ROUNDING [408086],500 mg,1829.8
DAPTOMYCIN 500 MG IV SOLR [36989],1 each,1829.8
DAPTOMYCIN 500 MG IV SOLR [36989],1 each,1829.8
DARATUMUMAB 20 MG/ML IV SOLN CUSTOM UF [405485],5 mL,2090
DARATUMUMAB 20 MG/ML IV SOLN CUSTOM UF [405485],20 mL,"8,275.40"
DARBEPOETIN ALFA 100 MCG/0.5ML IJ SOSY [163888],1  x .5 mL Syringe,3158.3
DARBEPOETIN ALFA 100 MCG/ML IJ SOLN [163884],1  x 1 mL Vial,"3,158.30"
DARBEPOETIN ALFA 200 MCG/0.4ML IJ SOSY [163892],1  x .4 mL Syringe,6288.4
DARBEPOETIN ALFA 25 MCG/0.42ML IJ SOSY [163881],1  x .42 mL Syringe,810.8
DARBEPOETIN ALFA 25 MCG/ML IJ SOLN [163879],1  x 1 mL Vial,810.8
DARBEPOETIN ALFA 300 MCG/0.6ML IJ SOSY [163893],1  x .6 mL Syringe,"9,418.40"
DARBEPOETIN ALFA 40 MCG/0.4ML IJ SOSY [163883],1  x .4 mL Syringe,1280.3
DARBEPOETIN ALFA 40 MCG/ML IJ SOLN [163882],1  x 1 mL Vial,1280.3
DARBEPOETIN ALFA 60 MCG/0.3ML IJ SOSY [163885],1  x .3 mL Syringe,1906.3
DARBEPOETIN ALFA 60 MCG/ML CUSTOM UF [402394],.42 mL,810.8
DARBEPOETIN ALFA 60 MCG/ML IJ SOLN [163886],1  x 1 mL Vial,1906.3
DARBY POST-OP SHOE ,EACH,100.00
DARUNAVIR ETHANOLATE 100 MG/ML PO SUSP [143184],200 mL,3160.8
DARUNAVIR ETHANOLATE 600 MG PO TABS [92065],1 each,94.9
DARUNAVIR ETHANOLATE 800 MG PO TABS [137468],1 each,189.7
DARUNAVIR-COBICISTAT 800-150 MG PO TABS [160804],1 each,216.8
DASATINIB 20 MG PO TABS [76717],1 each,429.9
DASATINIB 50 MG PO TABS [76718],1 each,859.70
DASATINIB 70 MG PO TABS [76719],1 each,859.70
DAT-C3 ,EACH,205
DAT-IGG ,EACH,205
DAUNORUBICIN CITRATE LIPOSOME 2 MG/ML IV INJ [17005],25 mL,"4,678.80"
DAUNORUBICIN HCL 5 MG/ML IV INJ [22661],4 mL,570.70
DAUNORUBICIN-CYTARABINE LIPO 44-100 MG IV SUSR CUSTOM UF [408233],1 each,"32,309.50"
DAUNORUBICIN-CYTARABINE LIPO 44-100 MG IV SUSR CUSTOM UF [408233],1 each,32309.5
DAVINCI PACK ,EACH,4800
D-DIMER-QUANT ,EACH,69.00
DEB MUSC/FASCIA 20 SQ CM/< ,EACH,1720
DEBRID NAIL ANY METHOD 6/MORE ,EACH,225
DEBRIDE BONE ADDL UP TO 20 SQCM ,EACH,2775
DEBRIDE BONE UP TO 20 SQ CM ,EACH,"3,595.00"
DEBRIDE ECZEMA/INF SKIN-10% ,EACH,1720
DEBRIDE FX/DISLOC SKIN/MUSC/BONE ,EACH,5655
DEBRIDE MUSC/FASC ADD UP TO 20SQC ,EACH,955
DEBRIDE MUSC/FASC UP TO 20SQ CM ,EACH,1720
DEBRIDE NAIL(S) ANY METH 1-5 ,EACH,345
DEBRIDE SKIN EA ADDL UP TO 20 SQCM ,EACH,95
DEBRIDE SKIN UP TO 20 SQCM ,EACH,880
DEBRIDE SUBQ ADDL UP TO 20 SQCM ,EACH,955
DEBRIDE SUBQ TISS UP TO 20 SQ CM ,EACH,970
DEBRIDE W/REM MAT SKIN/SUBQ TISSU ,EACH,3580
DEBRIDEMENT BONE 1ST 20 SQ/< ,EACH,1960
DEBRIDEMENT MUSCLE 1ST 20 SQ CM/< ,EACH,1485
DEBRIDEMENT SUBCU 1ST 20 SQ CM/< ,EACH,820.00
DECAL CHRG ONLY ,EACH,45
DECAPOLAR EP CABLE ,EACH,479.00
DECITABINE 50 MG IV SOLR [76364],50 mg,6947.5
DECITABINE 50 MG IV SOLR [76364],1 each,3870
DECLOT ACCESS DEV/CATH ,EACH,1030
DECLOT IMPL VASC ACCESS DEV ONC ,EACH,1095
DECOMPRESSION COLON ,EACH,MarkUp
DEFERASIROX 125 MG PO TBSO [43415],1 each,140.8
DEFERASIROX 500 MG PO TBSO [43417],1 each,563.1
DEFEROXAMINE MESYLATE 500 MG IJ SOLR [9723],500 mg,61
DEFEROXAMINE MESYLATE 500 MG IJ SOLR [9723],1 each,61
DEFIB CARDIAC BI VENT ,EACH,MarkUp
DEFIB CARDIAC DUAL CHAM ,EACH,MarkUp
DEFIB CARDIAC SINGLE CHAM ,EACH,MarkUp
DEFIB PADS PACING ADULT ,EACH,80
DEFIB PADS PACING PEDS ,EACH,70.00
DEFIBROTIDE SODIUM 200 MG/2.5ML IV SOLN [167155],2.5 mL,3567.7
DEFINITIVE DRUG  OPIOIDS 1 OR 2 ,EACH,572
DEFINITY 2ML VIAL ,EACH,363.00
DEFLECTABLE CATH SYSTEM ,EACH,1500
DEGARELIX ACETATE 120 MG SC SOLR [94468],1 each,2758.4
DEGARELIX ACETATE 80 MG SC SOLR [94467],80 mg,1848
DEGARELIX ACETATE 80 MG SC SOLR [94467],1 each,"1,848.00"
DEGARELIX ACETATE 80 MG SC SOLR [94467],1 each,2003.5
DELAVIRDINE MESYLATE 100 MG PO TABS [20639],1 each,4.5
DELIV VAG ONLY ,EACH,7860
DELIV VAG SUBSQ ,EACH,7860
DELIVERY CAPSULE DEVICE ,EACH,MarkUp
DELIVERY PLACENTA ONLY ,EACH,7860
DELIVERY SYSTEM PACKAGE DSYS ,EACH,1540
DELIVERY SYSTEM PKG ,EACH,52785
DELIVERY SYSTEM-TORQVUE ,EACH,1958
DEM/EVAL PT USE OF DEVICE ,EACH,410
DEMECLOCYCLINE HCL 150 MG PO TABS [9726],1 each,31.9
DEMECLOCYCLINE HCL 300 MG PO TABS [9727],1 each,63.8
DENOSUMAB 120 MG/1.7ML SC SOLN [140697],1  x 1.7 mL Vial,"8,994.70"
DENOSUMAB 60 MG/ML SC SOSY [133751],1  x 1 mL Syringe,4814.5
DENTOALVEOLAR PROCEDURE UNLISTED ,EACH,590
DEPO-MEDROL 80 ,EACH,33.00
DERMABOND ,EACH,70
DERMABOND ,EACH,70.00
DERMABOND HI DENSITY ,EACH,70
DESIPRAMINE HCL 100 MG PO TABS [2284],1 each,17.3
DESIPRAMINE HCL 25 MG PO TABS [2286],1 each,5.5
DESIPRAMINE HCL 50 MG PO TABS [2287],1 each,10.3
DESMOPRESSIN ACE RHINAL TUBE 0.01 % NA SOLN [70761],1  x 2.5 mL Bottle,564.60
DESMOPRESSIN ACE SPRAY REFRIG 0.01 % NA SOLN [27770],1  x 5 mL Bottle,738.80
DESMOPRESSIN ACETATE 0.1 MG PO TABS [16052],1 each,15.90
DESMOPRESSIN ACETATE 0.2 MG PO TABS [16053],1 each,22.9
DESMOPRESSIN ACETATE 4 MCG/ML IJ SOLN [9748],1 mL,39.9
DESMOPRESSIN ACETATE 4 MCG/ML IJ SOLN [9748],1  x 10 mL Vial,3279.7
DESMOPRESSIN ACETATE 4 MCG/ML IJ SOLN [9748],1  x 1 mL Ampule,266
DESMOPRESSIN ACETATE 4 MCG/ML IJ SOLN [9748],1  x 10 mL Vial,808.70
DESONIDE 0.05 % EX OINT [9751],1  x 15 g Tube,180.40
DESONIDE 0.05 % EX OINT [9751],1  x 60 g Tube,721.30
DESOXIMETASONE 0.25 % EX CREA [2296],1  x 15 g Tube,303.80
DESTR CELIAC PLEX W-W/O RAD MONIT ,EACH,2910
DESTR OTHER PERIPHER NERVE/BRANCH ,EACH,2870
DESTROY HEMORRHOID INTERN THERMAL ,EACH,2440
DESTROY L/S FACET JNT ADDL ,EACH,3520
DESTROY LUMB/SAC FACET JNT ,EACH,5735
DESTRUCT LESION VULVA SIMPLE ,EACH,5520
DESVENLAFAXINE SUCCINATE ER 100 MG PO TB24 [91187],1 each,45.90
DESVENLAFAXINE SUCCINATE ER 100 MG PO TB24 [91187],1 each,45.90
DESVENLAFAXINE SUCCINATE ER 100 MG PO TB24 [91187],1 each,45.90
DESVENLAFAXINE SUCCINATE ER 50 MG PO TB24 [91186],1 each,45.9
DESVENLAFAXINE SUCCINATE ER 50 MG PO TB24 [91186],1 each,45.90
DESVENLAFAXINE SUCCINATE ER 50 MG PO TB24 [91186],1 each,45.90
DETACHMENT BOX ,EACH,MarkUp
DETACHMENT CABLE SCS2.75-5 ,EACH,138.00
DETECT AGNT MULT DNA AMPLI ,EACH,412
DETECT NOS EIA SINGLE ,EACH,65.00
DETOX-VISTA NORTH ,EACH,2545
DEV COGNITIVE SKILLS 15 MIN ,EACH,105
DEV COGNITIVE SKLS 15 MIN ,EACH,105.00
DEVICE ANASTOMOSIS ,EACH,MarkUp
DEVICE ANEURYSM RECONSTRUCTION IDE#G170220 ,EACH,MarkUp
DEVICE BIOPSY SAMPLING ,EACH,MarkUp
DEVICE CLOSURE ,EACH,MarkUp
DEVICE COCHLEAR ,EACH,MarkUp
DEVICE COCHLEAR MEDICAID ,EACH,1.00
DEVICE DELIVERY GUN ,EACH,163
DEVICE EXTERNAL FIXATION ,EACH,MarkUp
DEVICE GASTRIC ,EACH,MarkUp
DEVICE IRRIGATION ,EACH,MarkUp
DEVICE MULTILEAF COLLIM PER IMRT ,EACH,"1,150.00"
DEVICE PACEMAKER ,EACH,MarkUp
DEVICE PROCESSOR ,EACH,MarkUp
DEVICE RETRIEVAL ,EACH,MarkUp
DEVICE SPECIMEN RETRIEVAL ,EACH,MarkUp
DEVICE SPECIMEN RETRIEVAL ,EACH,MarkUp
DEVICE SUTURING ,EACH,MarkUp
DEVICE THYROPLASTY ,EACH,MarkUp
DEVICE TORQUE ,EACH,MarkUp
DEVICE VAD BERLIN HDE#H100004 ,EACH,MarkUp
DEVICE VAD BERLIN IDE#G050262 ,EACH,MarkUp
DEVICE VAD HRTWR ,EACH,MarkUp
DEVICE VAD HRTWR IDE#G070199 ,EACH,MarkUp
DEVICE VASCULAR CLOSURE ,EACH,MarkUp
DEVICE VENTRICULAR ASSIST ,EACH,MarkUp
DEXAMETHASONE 0.5 MG PO TABS [2322],1 each,9
DEXAMETHASONE 0.7 MG IZ IMPL [174814],1 each,5418.9
DEXAMETHASONE 0.75 MG PO TABS [2323],1 each,9.00
DEXAMETHASONE 1 MG/ML PO CONC [17946],30 mL,136.60
DEXAMETHASONE 1.5 MG PO TABS [2325],1 each,9
DEXAMETHASONE 2 MG PO TABS [2326],1 each,9
DEXAMETHASONE 2 MG PO TABS [2326],1 each,9
DEXAMETHASONE 4 MG PO TABS [2327],1 each,9
DEXAMETHASONE INTRAOCULAR INJECTION CC [125764],30 mL,143.3
DEXAMETHASONE PO LIQD 0.1 MG/ML NICU [402045],10 mL,9
DEXAMETHASONE SERUM LEVEL ,EACH,189
DEXAMETHASONE SOD PHOS 4 MG/ML EXTEMPO IJ SOLN CC [401902],5 mL,34.3
DEXAMETHASONE SODIUM PHOS 20 MG/5ML IJ SOLN UD SH [402397],1  x 5 mL Vial,34.30
DEXAMETHASONE SODIUM PHOS 4 MG/ML IJ SOLN CUSTOM UF [402398],1 mL,9.00
DEXAMETHASONE SODIUM PHOSPHATE 0.1 % OP SOLN [2335],1  x 5 mL Bottle,194.10
DEXAMETHASONE SODIUM PHOSPHATE 20 MG/5ML IJ SOLN [156158],1  x 5 mL Vial,12.70
DEXAMETHASONE SODIUM PHOSPHATE 4 MG/ML CUSTOM COMPONENT [404427],1  x 1 mL Vial,9.00
DEXLANSOPRAZOLE 30 MG PO CPDR [94692],1 each,33.00
DEXLANSOPRAZOLE 60 MG PO CPDR [94693],1 each,33
DEXMEDETOMIDINE HCL 100 MCG/ML INTRANASAL PEDIATRIC UF [405876],1  x 2 mL Vial,287.9
DEXMEDETOMIDINE HCL 200 MCG/2ML IV SOLN [153056],2 mL,287.9
DEXMETHYLPHENIDATE HCL 10 MG PO TABS [31847],1 each,4.7
DEXMETHYLPHENIDATE HCL 5 MG PO TABS [31846],1 each,3.3
DEXMETHYLPHENIDATE HCL ER 10 MG PO CP24 [41548],1 each,43.8
DEXMETHYLPHENIDATE HCL ER 5 MG PO CP24 [41545],1 each,43.1
DEXRAZOXANE HCL 250 MG IV SOLR [15156],1 each,1137.4
DEXRAZOXANE HCL 250 MG IV SOLR [15156],1 each,1137.4
DEXRAZOXANE HCL 250 MG IV SOLR [15156],1 each,978.1
DEXRAZOXANE HCL 250 MG IV SOLR [15156],250 mg,978.1
DEXRAZOXANE HCL 250 MG IV SOLR [15156],250 mg,1137.4
DEXRAZOXANE HCL 500 MG IV SOLR [15157],1 each,2246.4
DEXRAZOXANE HCL 500 MG IV SOLR [15157],1 each,1641.8
DEXRAZOXANE HCL 500 MG IV SOLR [15157],1 each,2246.4
DEXRAZOXANE HCL 500 MG IV SOLR [15157],1 each,1928
DEXRAZOXANE HCL 500 MG IV SOLR [15157],1 each,2246.4
DEXTRAN 40 IN D5W 10 % IV SOLN [9759],1  x 500 mL Flex Cont,136.1
DEXTRAN 40 IN SALINE 10-0.9 % IV SOLN [23876],1  x 500 mL Flex Cont,139.5
DEXTROAMPHETAMINE SULFATE 5 MG PO TABS [2354],1 each,8.7
DEXTROMETHORPHAN POLISTIREX ER 30 MG/5ML PO SUER [166717],148 mL,38.2
DEXTROMETHORPHAN-GUAIFENESIN 10 ML PO SYRP UD SH [402130],1  x 10 mL Cup,3
DEXTROMETHORPHAN-GUAIFENESIN 10 ML PO SYRP UD SH [402130],1  x 10 mL Cup,3
DEXTROMETHORPHAN-GUAIFENESIN 10-100 MG/5ML PO SYRP [27345],237 mL,13.60
DEXTROMETHORPHAN-GUAIFENESIN 5 ML PO SYRP UD SH [402131],1  x 5 mL Cup,5.40
DEXTROMETHORPHAN-QUINIDINE 20-10 MG PO CAPS [141879],1 each,65.90
DEXTROSE 10 % IV BOLUS UF SOLN [404341],1  x 250 mL Flex Cont,31.1
DEXTROSE 10 % IV BOLUS UF SOLN [404341],1  x 500 mL Flex Cont,32.4
DEXTROSE 10 % IV BOLUS UF SOLN [404341],1  x 1000 mL Flex Cont,43.2
DEXTROSE 250 MG/ML IV SOLN [2361],1  x 10 mL Syringe,54.2
DEXTROSE 30 % IV SOLN [2362],1  x 500 mL Flex Cont,75.4
DEXTROSE 5 % IV BOLUS UF SOLN [404340],1  x 1000 mL Flex Cont,27
DEXTROSE 50 % IV SOLN [2365],1  x 50 mL Syringe,53.2
DEXTROSE 50 % IV SOLN [2365],1  x 50 mL Syringe,86.60
DEXTROSE 50 % IV SOLN [2365],1  x 50 mL Vial,17.60
DEXTROSE 50 % IV SOLN [2365],1  x 500 mL Flex Cont,78.8
DEXTROSE 70 % IV SOLN [2367],2000 mL,95.6
DEXTROSE IN LACTATED RINGERS 5 % IV BOLUS UF SOLN [404343],1  x 500 mL Flex Cont,32.4
DEXTROSE IN LACTATED RINGERS 5 % IV BOLUS UF SOLN [404343],1  x 1000 mL Flex Cont,32.4
DEXTROSE-NACL 10-0.225 % IV SOLN [21048],500 mL,75.4
DEXTROSE-NACL 10-0.45 % IV SOLN [15918],1  x 1000 mL Flex Cont,32.4
DEXTROSE-NACL 2.5-0.45 % IV SOLN [15862],1  x 1000 mL Flex Cont,37.8
DEXTROSE-NACL 5-0.2 % IV SOLN [15863],1  x 250 mL Flex Cont,25.7
DEXTROSE-NACL 5-0.2 % IV SOLN [15863],1  x 1000 mL Flex Cont,32.4
DEXTROSE-NACL 5-0.45 % IV BOLUS UF SOLN [404342],1  x 1000 mL Flex Cont,32.4
DEXTROSE-NACL 5-0.9 % IV BOLUS UF SOLN [404344],1  x 500 mL Flex Cont,27
DEXTROSE-NACL 5-0.9 % IV BOLUS UF SOLN [404344],1  x 1000 mL Flex Cont,27
DG ANL/PG COCHLEAR IMP=7YR & > ,EACH,475
DHEA SULFATE ,EACH,56.00
DHEA SULFATE SERUM ,EACH,32
DIAB OP TRAIN GRP PER 30 MIN ,EACH,70
DIAB OP TRAIN IND PER 30 MIN ,EACH,115
DIAG ANL/PRG COCHLEAR IMPL<7YR ,EACH,475
DIAGNOSTIC BONE MARROW ASPIRATE(S ,EACH,3595
DIAGNOSTIC BONE MARROW BIOPSY ,EACH,5230
DIAG-TOSITUMOMAB I-131 EA DOSE ,EACH,"11,405.00"
DIALYIS CIRC VASC EMBOLI OCCLS EVASC IMG S&I ,EACH,7940
DIALYSIS CATH ,EACH,423.00
DIALYSIS CATH CANNON 55 ,EACH,"1,140.00"
DIALYSIS CRRT REPEAT EVAL ,EACH,"1,215.00"
DIALYSIS OP ACUTE NON-ESRD ,EACH,1455
DIALYSIS OP AKI NON-ESRD W/O PROVIDER EVAL ,EACH,1465
DIALYSIS PROCEDURE ,EACH,560.00
DIANEAL LOW CALCIUM/1.5% DEX 344 MOSM/L IP SOLN [15428],1  x 2000 mL Flex Cont,122.6
DIANEAL LOW CALCIUM/1.5% DEX 344 MOSM/L IP SOLN [15428],5000 mL,213.6
DIANEAL LOW CALCIUM/2.5% DEX 395 MOSM/L IP SOLN [15427],5000 mL,213.6
DIANEAL LOW CALCIUM/2.5% DEX 395 MOSM/L IP SOLN [15427],1  x 2000 mL Flex Cont,142.8
DIANEAL LOW CALCIUM/4.25% DEX 483 MOSM/L IP SOLN [15430],1  x 5000 mL Flex Cont,179.9
DIAZEPAM 1 MG/ML PO SOLN [2402],1  x 5 mL Cup,13.8
DIAZEPAM 1 MG/ML PO SOLN [2402],1 Syringe,3
DIAZEPAM 10 MG PO TABS [2403],1 each,3
DIAZEPAM 10 MG RE GEL [87867],1 each,1154
DIAZEPAM 2 MG PO TABS [2404],1 each,3
DIAZEPAM 2 MG PO TABS [2404],1 each,3
DIAZEPAM 5 MG PO TABS [2405],1 each,3
DIAZEPAM 5 MG/ML IJ SOLN [2401],1  x 2 mL Crtrdg-NDL,138.9
DIAZEPAM 5 MG/ML IJ SOLN [2401],1  x 10 mL Vial,175.8
DIAZEPAM 5 MG/ML IJ SOLN [2401],1  x 2 mL Syringe,95
DIAZOXIDE 50 MG/ML PO SUSP [19713],30 mL,1065.3
DIBUCAINE 1 % RE OINT [27667],1  x 28 g Tube,18
DICLOFENAC EPOLAMINE 1.3 % TD PTCH [87859],1 each,44.8
DICLOFENAC SODIUM 0.1 % OP SOLN [19714],1  x 2.5 mL Bottle,39.4
DICLOFENAC SODIUM 1 % TD GEL [91047],1  x 100 g Tube,194.4
DICLOFENAC SODIUM 50 MG PO TBEC [15340],1 each,4.5
DICLOXACILLIN SODIUM 250 MG PO CAPS [2414],1 each,4.2
DICLOXACILLIN SODIUM 500 MG PO CAPS [2415],1 each,7.6
DICYCLOMINE HCL 10 MG PO CAPS [2418],1 each,3.00
DICYCLOMINE HCL 10 MG/5ML PO SOLN [42119],473 mL,425.70
DICYCLOMINE HCL 20 MG PO TABS [2420],1 each,3
DIDANOSINE 2 G PO SOLR [9844],100 mL,199.5
DIDANOSINE 250 MG PO CPDR [29109],1 each,33.1
DIDANOSINE 400 MG PO CPDR [29110],1 each,36.90
DIDANOSINE PO LIQD 10 MG/ML [402046],200 mL,137.4
DIFLUNISAL 500 MG PO TABS [2436],1 each,6.2
DIGITAL ANAL EEG-EPILEP SPIKE ,EACH,1120
DIGOXIN ,EACH,90
DIGOXIN 0.05 MG/ML PO SOLN [43556],60 mL,504
DIGOXIN 0.1 MG/ML IJ SOLN [9853],1  x 1 mL Ampule,370.2
DIGOXIN 0.25 MG/ML IJ SOLN [2442],1  x 2 mL Ampule,35.7
DIGOXIN 100 MCG/ML IJ SOLN CUSTOM UF [402547],1 mL,370.20
DIGOXIN 125 MCG PO TABS [2444],1 each,44.80
DIGOXIN 250 MCG PO TABS [2445],1 each,4.30
DIGOXIN 250 MCG/ML IJ SOLN CUSTOM UF [402546],2 mL,35.70
DIGOXIN IMMUNE FAB 40 MG IV SOLR [31432],1 each,"14,744.40"
DIHYDROERGOTAMINE MESYLATE 1 MG/ML IJ SOLN [9859],1  x 1 mL Ampule,532.9
DIHYDROERGOTAMINE MESYLATE 1 MG/ML IJ SOLN [9859],1  x 1 mL Ampule,"4,787.00"
DIL URET STR FILI MALE INIT ,EACH,2140
DILANTIN 100 MG PO CAP (BRAND NAME FOR IP USE ONLY) [408274],1 each,5
DILAT INTRACR VASOSPASM INIT ,EACH,10175
DILAT NEPH TRACT - TRANSCATH ,EACH,9600
DILAT NEPHROSTOMY/URETER S&I ,EACH,6840
DILAT VASOSPASM ADDL/DIFF FAM ,EACH,10175
DILAT VASOSPASM ADDL/SAME FAM ,EACH,10175
DILATE ESOPHAGUS ,EACH,4470
DILATION OF ANAL SPINCTER ,EACH,3425
DILATION OF RECTAL STRICTURE ,EACH,6935
DILATOR ,EACH,60
DILATOR 10-38-20 ,EACH,53
DILATOR 12-38-20 ,EACH,40
DILATOR 14-38-20 ,EACH,40
DILATOR 6-38-20 ,EACH,53
DILATOR 8-38-20 ,EACH,53
DILATOR COONS ,EACH,40
DILATOR SHEATH ,EACH,MarkUp
DILATOR SHEATH SET ,EACH,714.00
DILATOR VASCULAR ,EACH,MarkUp
DILATOR-ESOPHAGEAL BALLOON ,EACH,403.00
DILTIAZEM 15 MG PO TAB (INPATIENT) [400702],1 each,3
DILTIAZEM 15 MG PO TAB (INPATIENT) [400702],1 each,3.00
DILTIAZEM HCL 125 MG/25ML IV SOLN [95773],1  x 25 mL Vial,41.4
DILTIAZEM HCL 125 MG/25ML IV SOLN [95773],25 mL,58.40
DILTIAZEM HCL 25 MG/5ML IV SOLN [95772],1  x 5 mL Vial,19.00
DILTIAZEM HCL 25 MG/5ML IV SOLN [95772],1  x 5 mL Vial,15.6
DILTIAZEM HCL 30 MG PO TABS [2475],1 each,3
DILTIAZEM HCL 50 MG/10ML IV SOLN [95774],1  x 10 mL Vial,28.3
DILTIAZEM HCL 50 MG/10ML IV SOLN [95774],1  x 10 mL Vial,20.60
DILTIAZEM HCL 60 MG PO TABS [2476],1 each,3.00
DILTIAZEM HCL 90 MG PO TABS [2477],1 each,3.00
DILTIAZEM HCL ER 120 MG PO CP12 [11892],1 each,19.6
DILTIAZEM HCL ER 60 MG PO CP12 [14100],1 each,9.6
DILTIAZEM HCL ER 90 MG PO CP12 [14101],1 each,10.90
DILTIAZEM HCL ER COATED BEADS 120 MG PO CP24 [29270],1 each,4.5
DILTIAZEM HCL ER COATED BEADS 180 MG PO CP24 [29272],1 each,5.50
DILTIAZEM HCL ER COATED BEADS 240 MG PO CP24 [29274],1 each,7.7
DILTIAZEM HCL ER COATED BEADS 240 MG PO CP24 [29274],1 each,3.00
DILTIAZEM HCL ER COATED BEADS 300 MG PO CP24 [29276],1 each,8
DILTIAZEM PO LIQD 12 MG/ML [402047],3000 mL,18
DILTIAZEM PO LIQD 30 MG/2.5ML UD UF [402491],1  x 2.5 mL Syringe,3.00
DILTIAZEM PO LIQD 60 MG/5ML UD UF [403949],1  x 5 mL Syringe,3.00
DILUTE RUSSELL VIPER VENOM TIME ,EACH,65
DIMERCAPROL 100 MG/ML IM SOLN [9872],1  x 3 mL Ampule,677.1
DIMETHYL SULFOXIDE 50 % IS SOLN [9873],1  x 50 mL Vial,"2,327.40"
DINUTUXIMAB 3.5 MG/ML IV SOLN CUSTOM UF [405416],5 mL,39916.2
DIPHENHYDRAMINE 2.5 MG/ML PO LIQD IP ONLY [408171],118 mL,12.4
DIPHENHYDRAMINE HCL 12.5 MG/5ML PO ELIX [2511],1  x 5 mL Cup,7.8
DIPHENHYDRAMINE HCL 12.5 MG/5ML PO LIQD [12556],473 mL,14.20
DIPHENHYDRAMINE HCL 12.5 MG/5ML PO LIQD [12556],118 mL,5.7
DIPHENHYDRAMINE HCL 12.5 MG/5ML PO LIQD [12556],473 mL,17.10
DIPHENHYDRAMINE HCL 25 MG PO CAPS [2509],1 each,3.00
DIPHENHYDRAMINE HCL 25 MG PO TABS [2513],1 each,3
DIPHENHYDRAMINE HCL 25 MG PO TABS [2513],1 each,3
DIPHENHYDRAMINE HCL 25 MG/10ML PO ELIX UD UF [402048],1  x 10 mL Cup,5.5
DIPHENHYDRAMINE HCL 50 MG/ML IJ EXTEMP CC [401901],10 mL,76.7
DIPHENHYDRAMINE HCL 50 MG/ML IJ EXTEMP CC [401901],1 mL,9
DIPHENHYDRAMINE HCL 50 MG/ML IJ SOLN [2508],1  x 1 mL Vial,9
