price,description,charge_type
77.20,BACITRACIN-POLYMYXIN B OP OINT [19584],standard
195.20,BACITRA-NEOMYCIN-POLYMYXIN-HC 1 % OP OINT [849],standard
6.80,BACLOFEN 10 MG PO TABS [860],standard
7.50,BACLOFEN 10 MG PO TABS [860],standard
752.80,BACLOFEN 10 MG/20ML IT SOLN [144413],standard
3,BACLOFEN 20 MG PO TABS [861],standard
3850.4,BACLOFEN 40 MG/20ML IT SOLN [144415],standard
123.9,BACLOFEN PO LIQD 5 MG/ML [402023],standard
1375,BACTISEAL EVD CATHETER ,standard
50,BAG ANGIO 1500 ML ,standard
50.00,BAG SUCTION DRAINAGE ,standard
MarkUp,BAG TISSUE CLOSURE ,standard
60,BAG URINARY DRAINAGE ,standard
MarkUp,"BAHA SOFTBAND REPLACMENT, EA ",standard
MarkUp,BAHA SOFTBAND SYSTEM ,standard
724,BAKRI BALLOON SYSTEM ,standard
2560,BALLON 4X10 HYPERGLIDE ,standard
2560,BALLOON 4X15 HYPERGLIDE ,standard
1178,BALLOON 4X20 AVIATOR ,standard
1178,BALLOON 7X20 AVIATOR ,standard
3070,BALLOON 7X4 HYPERFORM ,standard
1540,BALLOON ABBOTT OMNILINK ELITE ,standard
365,BALLOON ABBOTT TREK OTW ,standard
365,BALLOON ARMADA ,standard
1840,BALLOON ATHEROTOME CUTTING ,standard
1005,BALLOON ATLAS LG ,standard
938,BALLOON ATLAS MD ,standard
158,BALLOON CATH ,standard
MarkUp,BALLOON CATH BERMAN ,standard
653.00,BALLOON CONQUEST 10X4 ,standard
724,BALLOON CONQUEST 6X2 ,standard
653,BALLOON CONQUEST 6X4 ,standard
724.00,BALLOON CONQUEST 8X2 ,standard
653.00,BALLOON CONQUEST 8X4 ,standard
985,BALLOON DILATE URTRL STRIX ,standard
MarkUp,BALLOON DIRECTIONAL 10MM ,standard
"3,335.00",BALLOON DIRECTIONAL 15MM ,standard
330,BALLOON FLOW DIRECTED ,standard
2560,BALLOON HYPERGLIDE 4X20 ,standard
335,BALLOON NC EUPHORA ,standard
3360,BALLOON OCCLUSION OB 5/2/65 ,standard
565,BALLOON OPTIPLAST ,standard
MarkUp,BALLOON SINUS ,standard
MarkUp,BALLOON STEALTH 3.5/20 4 CM ,standard
1070,BALLOON-ATLAS GOLD 10F ,standard
1663,BALLOON-ATLAS GOLD 10F B ,standard
1663,BALLOON-ATLAS GOLD 8F ,standard
1070,BALLOON-ATLAS GOLD 8F B ,standard
2130,BALLOON-CUTTING ,standard
479,BALLOON-FOX PLUS ,standard
6130,BALLOON-INOUE ,standard
605,BALLOON-MAVERICK OTW ,standard
704,BALLOON-PTS SIZING ,standard
605,BALLOON-QUANTUM APEX ,standard
2270,BALLOON-SCORING ,standard
449,BALLOON-SPRINTER ,standard
275,BALLOON-TREK ,standard
270,BALOXAVIR MARBOXIL 80 MG DOSE 40 (2) MG PO TBPK [180672],standard
20.1,BALSALAZIDE DISODIUM 750 MG PO CAPS [29299],standard
MarkUp,BAND ANNULOPLASTY ,standard
MarkUp,BAND RETINAL ,standard
403,BANDER ,standard
403.00,BANDIER FOR VARICES ,standard
MarkUp,BAR ARCH ,standard
MarkUp,BAR EXTERNAL FIXATION ,standard
MarkUp,BAR SPINAL ,standard
MarkUp,BAR SUPPORT ,standard
172,BARBITURATE QUANT SERUM REFLX ,standard
235,BARBITURATES ,standard
298,BARBITURATES MECONIUM CONF ,standard
480,BARIUM ENEMA ,standard
840,BARIUM ENEMA-AIR CONTRAST ,standard
MarkUp,BARRIER ADHESION ,standard
MarkUp,BARRIER SKIN ,standard
500.00,BASIC DOSIMETRY ,standard
57.00,BASIC METABO PANEL ,standard
57,BASIC METABOLIC PANEL ,standard
57.00,BASIC METABOLIC PANEL ,standard
60,BASIC METOBOLIC PANEL ,standard
840,BASIC VESTIBULAR EVAL ,standard
14523.4,BASILIXIMAB 20 MG IV SOLR [23082],standard
14523.4,BASILIXIMAB 20 MG IV SOLR [23082],standard
MarkUp,BASKET SPECIMEN RETRIEVAL ,standard
143,BB MULTITRACK ,standard
663.40,BCG LIVE 50 MG IS SUSR [21570],standard
718.4,BCG LIVE 81 MG/VIAL IS SUSR [14234],standard
716,BCL6 BY FISH ,standard
3,B-COMPLEX PO TABS [76993],standard
300,BCR ABL MINOR P190 QUANT ,standard
300,BCR ABL1 MAJOR P210 QUANT ,standard
255,BCR/ABL 1 GENE MAJOR BP ,standard
15,BCR-INTERPRETATION ,standard
40,BCR-NUC ACID AMPLIFICATION ,standard
609.5,BECLOMETHASONE DIPROP HFA 40 MCG/ACT IN AERB [171163],standard
816,BECLOMETHASONE DIPROP HFA 80 MCG/ACT IN AERB [171165],standard
1056.1,BECLOMETHASONE DIPROP MONOHYD 42 MCG/SPRAY NA SUSP [77822],standard
14.4,BECLOMETHASONE DIPROPRIANATE 1 MG/ML ORAL LIQUID [404213],standard
100,BEHAVE/HLTH INTERV FAM W/PT EA 15 MINS ,standard
50.00,BEHAVE/HLTH INTERV GROUP EA 15 MINS ,standard
100.00,BEHAVE/HLTH INTERV INDIV EA 15 MINS ,standard
3854.8,BELATACEPT 250 MG IV SOLR [147753],standard
2092.9,BELIMUMAB 120 MG IV SOLR [144614],standard
6910.3,BELIMUMAB 400 MG IV SOLR [144615],standard
7539.7,BELINOSTAT 500 MG IV CUSTOM UF SOLR COMPONENT [404536],standard
82.6,BELLADONNA ALKALOIDS-OPIUM 16.2-30 MG RE SUPP [20828],standard
3,BENAZEPRIL HCL 10 MG PO TABS [9220],standard
3,BENAZEPRIL HCL 20 MG PO TABS [9221],standard
3.2,BENAZEPRIL HCL 5 MG PO TABS [9223],standard
10032.3,BENDAMUSTINE HCL 25 MG/ML IV SOLN CUSTOM UF [405591],standard
19245.8,BENRALIZUMAB 30 MG/ML SC SOSY [171760],standard
130.1,BENZOCAINE 20 % MT AERO [172782],standard
8.7,BENZOCAINE 20 % MT GEL [19691],standard
26,BENZOCAINE 20 % MT GEL [19691],standard
235,BENZODIAZEPINES ,standard
115,BENZODIAZEPINES 1-12 CLONAZEPAM ,standard
118,BENZODIAZEPINES 1-12 LORAZAPAM ,standard
290,BENZODIAZEPINES MECONIUM CONF ,standard
172,BENZODIAZIPINES SERUM QUANT RELFX ,standard
7.6,BENZONATATE 100 MG PO CAPS [988],standard
14.4,BENZONATATE 200 MG PO CAPS [26953],standard
62.3,BENZOYL PEROXIDE 10 % EX GEL [989],standard
17.1,BENZOYL PEROXIDE 5 % EX GEL [991],standard
622.2,BENZOYL PEROXIDE-ERYTHROMYCIN 5-3 % EX GEL [9254],standard
3,BENZTROPINE MESYLATE 0.25 MG PO TAB (INPATIENT) [402175],standard
3,BENZTROPINE MESYLATE 0.5 MG PO TABS [998],standard
3,BENZTROPINE MESYLATE 1 MG PO TABS [999],standard
281,BENZTROPINE MESYLATE 1 MG/ML IJ SOLN [9259],standard
226.2,BENZTROPINE MESYLATE 1 MG/ML IJ SOLN [9259],standard
3,BENZTROPINE MESYLATE 2 MG PO TABS [1000],standard
420.50,BENZYLPENICILLOYL POLYLYSINE 0.25 ML ID SOLN [9260],standard
1577.1,BERACTANT IN NACL 25-0.9 MG/ML-% TR SUSP [11021],standard
2769.6,BERACTANT IN NACL 25-0.9 MG/ML-% TR SUSP [11021],standard
153,BERENSTEIN GLIDECATH ,standard
139,BETA 2 GLYCOPROTEIN I AB IGM ,standard
54,BETA 2 MICROGLOBULIN (SERUM) ,standard
51,BETA HCG (QUAL) ,standard
51,BETA HCG QUAL ,standard
81.00,BETA HCG WHOLE BLOOD - POCT ,standard
55.00,BETA KETONE WB ,standard
158.5,BETAMETHASONE DIPROPIONATE 0.05 % EX CREA [1027],standard
236.5,BETAMETHASONE INJECTION FOR BURN CLINIC [405495],standard
179.5,BETAMETHASONE SOD PHOS & ACET 6 (3-3) MG/ML IJ SUSP [9266],standard
236.5,BETAMETHASONE SOD PHOS & ACET 6 (3-3) MG/ML IJ SUSP [9266],standard
84.00,BETAMETHASONE VALERATE 0.1 % EX CREA [1031],standard
171.40,BETAMETHASONE VALERATE 0.1 % EX CREA [1031],standard
62.7,BETAMETHASONE VALERATE 0.1 % EX OINT [1033],standard
128,BETAMETHASONE VALERATE 0.1 % EX OINT [1033],standard
1118,BETAXOLOL HCL 0.25 % OP SUSP [19703],standard
1676.8,BETAXOLOL HCL 0.25 % OP SUSP [19703],standard
369.9,BETAXOLOL HCL 0.5 % OP SOLN [9268],standard
3.8,BETAXOLOL HCL 10 MG PO TABS [9269],standard
4.5,BETHANECHOL CHLORIDE 10 MG PO TABS [1043],standard
8.1,BETHANECHOL CHLORIDE 25 MG PO TABS [1044],standard
3,BETHANECHOL CHLORIDE 5 MG PO TABS [1045],standard
10.3,BETHANECHOL CHLORIDE 50 MG PO TABS [1046],standard
39.6,BETHANECHOL PO LIQD 5 MG/ML [402024],standard
3251.1,BEVACIZUMAB 100 MG/4ML IV SOLN [144326],standard
200.1,BEVACIZUMAB 2.5 MG/0.1 ML OPHTHALMIC SYRINGE CUSTOM [404630],standard
230.4,BEVACIZUMAB 2.5 MG/0.1 ML OPHTHALMIC SYRINGE CUSTOM [404630],standard
234.5,BEVACIZUMAB 2.75 MG/0.11ML IO SOSY [176117],standard
"12,919.60",BEVACIZUMAB 25 MG/ML OPHTHALMIC INJECTION [125794],standard
102,B-HCG QUANTITATIVE TUMOR MARKER ,standard
23,BI SMEAR W/DIFF WBC COUNT ,standard
95.5,BIAFINE EX EMUL [43655],standard
2005,BIB BALL ,standard
55.7,BICALUTAMIDE 50 MG PO TABS [15746],standard
54.8,BICALUTAMIDE 50 MG PO TABS [15746],standard
19,BICARBONATE (HCO3) - URINE ,standard
353.5,BICTEGRAVIR-EMTRICITAB-TENOFOV 50-200-25 MG PO TABS [176164],standard
228,BILE ACIDS - FRACTIONATED ,standard
29,BILE ACIDS TOTAL ,standard
15295,BILI ENDO DILAT BIL W/STENT ,standard
8405,BILI ENDO DILAT WO STENT ,standard
15415,BILI ENDO W/BX SNGLE OW MULTI ,standard
755.00,BILIARY BALLOON DILATOR ,standard
MarkUp,BILIARY ENDO CATH ,standard
15295,BILIARY ENDOSCOPY-STONE REMOV ,standard
35,BILIRUBIN DIRECT ,standard
46,BILIRUBIN SCAN AMNIOTIC ,standard
35,BILIRUBIN TOTAL BODY FLUID ,standard
403.9,BIMATOPROST 0.03 % OP SOLN [29904],standard
410,BINAURAL HEARING AID FIT/CHECK/DISPENSE ,standard
26140,BIOCARDIA CARDIAMP KIT IDE# BB16057 ,standard
140,BIOFEEDBACK TRAINING ,standard
70,BIOGUARD ISLAND DRESSING 18X18 ,standard
20,BIOGUARD ISLAND DRESSING 4X10 ,standard
20,BIOGUARD ISLAND DRESSING 4X14 ,standard
10,BIOGUARD ISLAND DRESSING 4X5 ,standard
20,BIOGUARD ISLAND DRESSING 4X8 ,standard
3900,BIOPSY ADD LOBE ,standard
418,BIOPSY DEVICE BONE ,standard
70.00,BIOPSY FORCEPS-COLD ,standard
110,BIOPSY FORCEPS-HOT ,standard
148,BIOPSY GUN ,standard
265,BIOPSY KIT DIAMOND POINT ,standard
3595,BIOPSY LIVER ,standard
5230,BIOPSY MUSCLE ,standard
5655,BIOPSY MUSCLE DEEP ,standard
"6,365.00",BIOPSY NASOPHARYNX ,standard
7770,BIOPSY OF RECTUM ,standard
6365,BIOPSY OF UPPER NOSE/THROAT ,standard
3595,BIOPSY PLEURA NDL ,standard
3595,BIOPSY PLEURA PERC NEEDLE ,standard
3595,BIOPSY PLEURA PERC.NEEDLE ,standard
190,BIOPSY SKIN LESION EA ADDITIONAL ,standard
665,BIOPSY SKIN LESION SINGLE ,standard
3595,BIOPSY SPINAL CORD PERC ,standard
30,BIOPSY TRAY ,standard
80,BIOPSY TRAY ,standard
995,BIOPTOM ,standard
4.8,BIOTIN 10 MG/ML ORAL SUSPENSION UF [401560],standard
325,BIS XTRACELL FLUID ANALYSIS ,standard
3,BISACODYL 10 MG RE SUPP [1080],standard
3,BISACODYL 5 MG PO TBEC [1079],standard
568,BISMUTH SUBCARBONATE POWD [1086],standard
3,BISMUTH SUBSALICYLATE 262 MG PO CHEW [9284],standard
8.9,BISMUTH SUBSALICYLATE 262 MG/15ML PO SUSP [1090],standard
3.00,BISOPROLOL 2.5 MG PO TAB (INPATIENT) [402176],standard
3.70,BISOPROLOL FUMARATE 10 MG PO TABS [18287],standard
6.80,BISOPROLOL FUMARATE 5 MG PO TABS [18288],standard
21.30,BISOPROLOL-HYDROCHLOROTHIAZIDE 10-6.25 MG PO TABS [18289],standard
21.30,BISOPROLOL-HYDROCHLOROTHIAZIDE 2.5-6.25 MG PO TABS [18291],standard
21.30,BISOPROLOL-HYDROCHLOROTHIAZIDE 5-6.25 MG PO TABS [18290],standard
MarkUp,BIT DRILL ,standard
"56,855.00",BIV ICD ,standard
"50,655.00",BIV ICD 1 ,standard
49320,BIV ICD 2 ,standard
"46,655.00",BIV ICD 3 ,standard
19330,BIV PACEMAKER ,standard
4865,BIV PACER LEAD ,standard
3971.1,BIVALIRUDIN TRIFLUOROACETATE 250 MG IV SOLR [29396],standard
3971.1,BIVALIRUDIN TRIFLUOROACETATE 250 MG IV SOLR [29396],standard
251.00,BK VIRUS  BY PCR ,standard
291,BK VIRUS PCR - BLOOD ,standard
291,BK VIRUS PCR - URINE ,standard
MarkUp,BLADE DERMATOME ,standard
MarkUp,BLADE ENDOSCOPIC ,standard
MarkUp,BLADE FIXATION ,standard
MarkUp,BLADE INTRAMEDULLARY NAIL ,standard
MarkUp,BLADE OPHTHALMIC ,standard
MarkUp,BLADE OSSICULAR ,standard
MarkUp,BLADE RASP ,standard
MarkUp,BLADE SAW ,standard
MarkUp,BLADE SHAVER ,standard
MarkUp,BLADE TREPHINE ,standard
MarkUp,BLADE URETHROTOME ,standard
26,BLASTOMYCES ABS QUANT ,standard
785,BLEDSOE KNEE BRACE* ,standard
325.00,BLEDSOE WALKING BOOT* ,standard
229.3,BLEOMYCIN SULFATE 15 UNITS IJ SOLR [9289],standard
259.60,BLEOMYCIN SULFATE 15 UNITS IJ SOLR [9289],standard
167.80,BLEOMYCIN SULFATE 15 UNITS IJ SOLR [9289],standard
259.60,BLEOMYCIN SULFATE 15 UNITS IJ SOLR [9289],standard
457.3,BLEOMYCIN SULFATE 30 UNITS IJ SOLR [17012],standard
336.7,BLEOMYCIN SULFATE 30 UNITS IJ SOLR [17012],standard
15021.1,BLINATUMOMAB 35 MCG IV SOLR CUSTOM UF [404947],standard
MarkUp,BLOCK CUTTING ,standard
50,BLOCK TRAY ,standard
575.00,BLOCKER ENDOBRONCHIAL ,standard
"1,150.00",BLOCKING TX DEVICE COMPLES ,standard
620.00,BLOCKING TX DEVICE INTERMED ,standard
435.00,BLOCKING TX DEVICE SIMPLE ,standard
85,BLOCK-REGIONAL LEV 1-ADDL MIN ,standard
105,BLOCK-REGIONAL LEV 2-ADDL MIN ,standard
120,BLOCK-REGIONAL LEV 3-ADDL MIN ,standard
135,BLOCK-REGIONAL LEV 4-ADDL MIN ,standard
160,BLOCK-REGIONAL LEV 5-ADDL MIN ,standard
385,BLOOD BANK RHOGAM DOSE WKUP ,standard
61,BLOOD CULTURE FUNGUS ,standard
130,BLOOD GAS ,standard
130,BLOOD GAS ,standard
60,BLOOD GASES 02 SAT (DIR) ,standard
121,BLOOD IRRADIATION ,standard
22,BLOOD OCCULT FECAL SNGL-DIGITAL ,standard
25,BLOOD OCCULT QUAL FECAL 1-3 ,standard
MarkUp,BLOOD SMEAR PREP-PERIPHERAL ,standard
409.00,BLOOD TYPING ANTIBODY ANTIGEN ,standard
409,BLOOD TYPING ANTIGEN DONOR EACH ,standard
368,BLOOD X-MATCH (AHG) ,standard
368,BLOOD X-MATCH (IS) ,standard
1365,BLOOD/LYMPH SYSTEM PROCEDURE ,standard
694.00,BLUE RHINO-PERCUTAN TRACH KIT ,standard
714.00,BODY 1 THIGH ADULT S ,standard
MarkUp,BOLT EXTERNAL FIXATION ,standard
MarkUp,BOLT LOCKING ,standard
MarkUp,BOLT SPINAL ,standard
460,BONE AGE STUDIES ,standard
460,BONE AGE X-RAY ,standard
418,BONE BIOPSY DEVICE ,standard
189,BONE BIOPSY SET ,standard
460,BONE DENS DEX HIP PELVIS SPIN ,standard
600,BONE DENS DEX WHOLE BODY ,standard
265.00,BONE DENS DEX WRIST ANK FOOT ,standard
405,BONE DENS DXA AXIAL SKEL INCL VERT FX ASSMNT ,standard
383,BONE FILLER EXPRESS ,standard
MarkUp,BONE MARROW ACQUISITION ,standard
36030,BONE MARROW ALLOGENIC TRANSPLANT ,standard
"11,660.00",BONE MARROW AUTOLOGOUS TRANSPLANT ,standard
1495,BONE MARROW IMAGING WHOLE ,standard
"1,670.00",BONE MARROW SMEAR ,standard
"4,150.00",BONE MARROW-DONOR LYMPHOCYTE INFUSION ,standard
"1,495.00",BONE/JOINT IMAGE-LIMITED AREA ,standard
"1,495.00",BONE/JOINT IMAGE-THREE PHASE ,standard
1495,BONE/JOINT IMAGE-WHOLE BODY ,standard
1615,BONE/JOINT-TOMO (SPECT) ,standard
6510.8,BORTEZOMIB 3.5 MG IJ SOLR [35839],standard
6510.8,BORTEZOMIB 3.5 MG IJ SOLR [35839],standard
6510.7,BORTEZOMIB 3.5 MG IV SOLR [171226],standard
1031.3,BOSENTAN (TRACLEER) 6.25 MG/ML ORAL LIQUID UF [404362],standard
652.9,BOSENTAN 125 MG PO TABS [31876],standard
89.6,BOSENTAN 15.63 MG PO TAB (INPATIENT) [402177],standard
179.1,BOSENTAN 31.25 MG PO TAB (INPATIENT) [402178],standard
652.9,BOSENTAN 62.5 MG PO TABS [31875],standard
80,BOTOX NEEDLE ,standard
80.00,BOTOX NEEDLE ,standard
1600,BOTOX PROCEDURE TIME CHARGE ,standard
"1,495.00",BOWEL IMAGING ,standard
MarkUp,BRACE ORTHOPEDIC ,standard
168,BRACE-HUMERUS FRACTURE ,standard
670,BRACHIAL ACCESS ONLY ,standard
2870,BRACHIAL PLEXUS NERVE BLOCK SNG ,standard
60.00,BRACHYTHERAPY NEEDLE ,standard
1150,BRACHYTX ISODOSE PLAN CMPLX ,standard
1150,BRACHYTX ISODOSE PLAN INTERMED ,standard
450,BRACHYTX ISODOSE PLAN SIMPLE ,standard
"1,408.00",BRACHYTX SOURCE-HDR IR-192 ,standard
235.00,BRACHYTX SOURCE-NON-HDR IR-192 ,standard
"39,990.00",BRACHYTX SOURCE-YTTRIUM-90 ,standard
25280,BRACIOCEPH TRK&BRCHS ATHER+S&I ,standard
920.00,BRAF GENE MUTATION DETECTION ,standard
920,BRAF GENE MUTATION DETECTION ,standard
395.00,BRAF-MICRODISSECTION MANUAL ,standard
1245,BRAIN IMAGE <4 STAT VIEW W/VASC FLOW ,standard
2150,BRAIN IMAGE MIN 4 VIEW W/VASC FLOW ,standard
5140,BRAIN IMAGE TOMO (SPECT) ,standard
3255,BRAIN MAPPING 1ST HR ,standard
840,BRAIN MAPPING EA ADDL HOUR ,standard
1235,BRAIN PERFUSION W/CON ,standard
115,BRANCED CHN AMINO ACD BLD SPOT ,standard
575,BRAVO CAPSULE ,standard
795,BREAST ASPIRATION EACH ADD ,standard
2065,BREAST ASPIRATION-INITIAL ,standard
715.00,BREAST DUCTOGRAM-MULTI ,standard
"1,245.00",BREAST TUMOR LOCALIZATION LTD ,standard
175,BREATHING EX/15 MIN ,standard
29852.7,BRENTUXIMAB VEDOTIN 50 MG IV SOLR [149887],standard
29852.7,BRENTUXIMAB VEDOTIN 50 MG IV SOLR [149887],standard
104.1,BRILLIANT BLUE G 0.025% INJECTION CUSTOM [405699],standard
560.7,BRIMONIDINE TARTRATE 0.15 % OP SOLN [31158],standard
54.4,BRIMONIDINE TARTRATE 0.2 % OP SOLN [17881],standard
1028,BRINZOLAMIDE 1 % OP SUSP [22953],standard
60,BRITE TIP SHEATH ,standard
90,BRITE TIP SHEATH ,standard
64.3,BRIVARACETAM 50 MG PO TABS [405730],standard
64.3,BRIVARACETAM 50 MG PO TABS [405730],standard
213.7,BRIVARACETAM 50 MG/5ML IV SOLN [167957],standard
47,BROMIDE ,standard
18.9,BROMOCRIPTINE MESYLATE 2.5 MG PO TABS [9297],standard
4230,BRONCH DIAGNOSTIC ,standard
"8,310.00",BRONCH EBUS IVNTJ PERPH LES ,standard
"7,815.00",BRONCH EBUS SAMPLING 1/2 NODE ,standard
7815,BRONCH EBUS SAMPLING 3/>NODE ,standard
"2,420.00",BRONCH NAVIGATION ADD-ON ,standard
4230,BRONCH THERAPEUTIC INITIAL ,standard
12225,BRONCH THERMOPLASTY 2/> LOBE ,standard
"6,665.00",BRONCH THERMOPLASTY CATH ALAIR ,standard
7815,BRONCH TREAT BLOCKAGE ,standard
7815,BRONCH TUMOR EXCISION ,standard
4230,BRONCH W/ALVEOLAR LAVAGE ,standard
12225,BRONCH W/BALLOON OCCLUSION ,standard
"4,230.00",BRONCH W/BIOPSY ,standard
4230,BRONCH W/BRACHY ,standard
4230,BRONCH W/BRUSHINGS ,standard
3900,BRONCH W/BX EA ADD LOBE ,standard
"7,815.00",BRONCH W/DILATION ,standard
"7,815.00",BRONCH W/LUNG BX 1 LOBE ,standard
"7,815.00",BRONCH W/NEEDLE ASPIR BX ,standard
3900,BRONCH W/NEEDLE BX ADDL ,standard
4230,BRONCH W/REM FB ,standard
7585,BRONCH W/STENT-ADDTL BRONCHUS ,standard
12225,BRONCH W/STENT-BRONCHIAL ,standard
12225,BRONCH W/STENT-REVISION ,standard
12225,BRONCH W/STENT-TRACHEAL ,standard
"1,560.00",BRONCH W/THER ADD ,standard
"1,560.00",BRONCH W/THER ADD ,standard
7815,BRONCH W/TRANS BIOPSY ,standard
"1,120.00",BRONCHEAL STENT DUMON BD ,standard
12225,BRONCHOSCOPY FIDUCIAL MARKERS ,standard
840,BRONCHOSPASM EVALUATION ,standard
840,BRONCHOSPASM EVALUATION PROLONGED ,standard
620,BRONCHUS FLEX NEEDLE 18 GA ,standard
27,BRUCELLA AB TOTAL ,standard
61.00,BRUCELLA ABS ,standard
100.00,BRUSH & PLUG VOICE PROSTHESIS ,standard
MarkUp,BRUSH FEMORAL CANAL ,standard
70,BS DIAGNOSTIC CATHETER ,standard
25500,BS VIGILANT EL ICD DR DUAL CHAMBER ICD ,standard
139.5,BSS IO SOLN [37579],standard
51.1,BSS IO SOLN [37579],standard
340,BSS PLUS IO SOLN [834],standard
605.00,BT CELL CLONAL MICRODISSECTION ,standard
194.00,BUCKS TRACTION BOOT ,standard
56.5,BUDESONIDE 0.25 MG/2ML IN SUSP [28774],standard
51.3,BUDESONIDE 0.25 MG/2ML IN SUSP [28774],standard
59.9,BUDESONIDE 0.5 MG/2ML IN SUSP [28775],standard
60.3,BUDESONIDE 0.5 MG/2ML IN SUSP [28775],standard
82.9,BUDESONIDE 3 MG PO CPEP [166706],standard
535.2,BUDESONIDE 32 MCG/ACT NA SUSP [27022],standard
617.1,BUDESONIDE 90 MCG/ACT IN AEPB [94034],standard
800.5,BUDESONIDE-FORMOTEROL FUMARATE 160-4.5 MCG/ACT IN AERO [81454],standard
695.9,BUDESONIDE-FORMOTEROL FUMARATE 80-4.5 MCG/ACT IN AERO [81453],standard
29,BUFFY COAT GRAM STAIN STUDY ,standard
20.5,BUMETANIDE 0.25 MG/ML IJ SOLN [9308],standard
9,BUMETANIDE 0.25 MG/ML IJ SOLN [9308],standard
13.7,BUMETANIDE 0.25 MG/ML IJ SOLN [9308],standard
20.5,BUMETANIDE 0.25 MG/ML IJ SOLN [9308],standard
3,BUMETANIDE 0.5 MG PO TABS [9309],standard
7.3,BUMETANIDE 0.5 MG PO TABS [9309],standard
3,BUMETANIDE 1 MG PO TABS [9310],standard
8.10,BUMETANIDE 1 MG PO TABS [9310],standard
27.00,BUN ,standard
10.70,BUPIVACAINE HCL (PF) 0.25 % IJ SOLN [138051],standard
10.50,BUPIVACAINE HCL (PF) 0.25 % IJ SOLN [138051],standard
10.7,BUPIVACAINE HCL (PF) 0.25 % IJ SOLN [138051],standard
40.9,BUPIVACAINE HCL (PF) 0.5 % IJ SOLN [138052],standard
11.9,BUPIVACAINE HCL (PF) 0.5 % IJ SOLN [138052],standard
12.3,BUPIVACAINE HCL (PF) 0.5 % IJ SOLN [138052],standard
21.3,BUPIVACAINE HCL (PF) 0.75 % IJ SOLN [152893],standard
13,BUPIVACAINE HCL (PF) 0.75 % IJ SOLN [152893],standard
25.5,BUPIVACAINE IN DEXTROSE 0.75-8.25 % IT SOLN [9316],standard
58.7,BUPIVACAINE-EPINEPHRINE (PF) 0.25% -1:200000 IJ SOLN [138046],standard
23.4,BUPIVACAINE-EPINEPHRINE (PF) 0.25% -1:200000 IJ SOLN [138046],standard
49.9,BUPIVACAINE-EPINEPHRINE (PF) 0.25% -1:200000 IJ SOLN [138046],standard
18.5,BUPIVACAINE-EPINEPHRINE (PF) 0.25% -1:200000 IJ SOLN [138046],standard
15.8,BUPIVACAINE-EPINEPHRINE (PF) 0.5% -1:200000 IJ SOLN [138047],standard
29.9,BUPIVACAINE-EPINEPHRINE (PF) 0.5% -1:200000 IJ SOLN [138047],standard
456.3,BUPRENORPHINE 10 MCG/HR TD PTWK [141868],standard
305.1,BUPRENORPHINE 5 MCG/HR TD PTWK [141867],standard
338.3,BUPRENORPHINE 7.5 MCG/HR TD PTWK [159064],standard
12.5,BUPRENORPHINE HCL 2 MG SL SUBL (VS INPATIENT) [402939],standard
23.3,BUPRENORPHINE HCL 8 MG SL SUBL [34712],standard
17.5,BUPRENORPHINE HCL-NALOXONE HCL 2-0.5 MG SL SUBL [34713],standard
29.4,BUPRENORPHINE HCL-NALOXONE HCL 8-2 MG SL FILM [138083],standard
29.4,BUPRENORPHINE HCL-NALOXONE HCL 8-2 MG SL FILM [138083],standard
31.3,BUPRENORPHINE HCL-NALOXONE HCL 8-2 MG SL SUBL [34714],standard
115,BUPRENORPHINE UR QUANT REFLX ,standard
5.9,BUPROPION HCL 100 MG PO TABS [9321],standard
5.1,BUPROPION HCL 100 MG PO TB12 (UF INPATIENT) [402758],standard
5.9,BUPROPION HCL 150 MG PO TB12 (UF INPATIENT) [402759],standard
5.5,BUPROPION HCL 150 MG PO TB12 (UF INPATIENT) [402759],standard
4.7,BUPROPION HCL 75 MG PO TABS [9322],standard
3,BUPROPION HCL 75 MG PO TABS [9322],standard
14.9,BUPROPION HCL ER (SMOKING DET) 150 MG PO TB12 [21047],standard
14.4,BUPROPION HCL ER (XL) 150 MG PO TB24 [36775],standard
15.7,BUPROPION HCL ER (XL) 150 MG PO TB24 [36775],standard
15.7,BUPROPION HCL ER (XL) 150 MG PO TB24 [36775],standard
18.9,BUPROPION HCL ER (XL) 300 MG PO TB24 [36776],standard
59.00,BURN CULTURE ,standard
970,BURN DSG/DEBRIDE WO/ANES LG ,standard
880,BURN DSG/DEBRIDE WO/ANES MED ,standard
460,BURN DSG/DEBRIDE WO/ANES SMALL ,standard
460,BURN FIRST DEGREE INIT TX LOCAL ,standard
MarkUp,BURR SURGICAL ,standard
3,BUSPIRONE 2.5 MG PO TAB (INPATIENT) [400695],standard
4.1,BUSPIRONE HCL 10 MG PO TABS [9323],standard
6.1,BUSPIRONE HCL 15 MG PO TABS [17464],standard
10.9,BUSPIRONE HCL 30 MG PO TABS [27046],standard
3,BUSPIRONE HCL 5 MG PO TABS [9324],standard
3,BUSPIRONE HCL 5 MG PO TABS [9324],standard
180,BUSULFAN ,standard
84.4,BUSULFAN 2 MG PO TABS [9325],standard
3964.1,BUSULFAN 6 MG/ML IV SOLN [24695],standard
4072.2,BUSULFAN 6 MG/ML IV SOLN [24695],standard
1841.1,BUSULFAN PO LIQD 2 MG/ML [402027],standard
