Facility,Description - UPPERCASE,Unit Price
Cooper Service Area,CATH MALECOT 20FR ,$56.89
Cooper Service Area,CATH MALECOT 24FR ,$56.89
Cooper Service Area,CATH MALECOT 26FR ,$56.89
Cooper Service Area,CATH MALECOT 28FR ,$46.80
Cooper Service Area,CATH MALECOT 30FR ,$56.89
Cooper Service Area,CATH MALECOT 34FR ,$56.89
Cooper Service Area,CATH MARATHON ,"$3,346.50"
Cooper Service Area,CATH MARATHON 165 AVM MIC (NO STYLET),"$2,177.65"
Cooper Service Area,CATH MARKER PIGTAIL 20CM ,$266.75
Cooper Service Area,CATH MARKSMAN 135CM ,"$4,345.60"
Cooper Service Area,CATH MARKSMAN 150CM ,"$4,345.60"
Cooper Service Area,CATH MAXI BALLOON 80CM ,"$2,885.75"
Cooper Service Area,CATH MIC 150CM PSHP 45 2 TIP MRKR EXCELSIOR SL-10,"$4,584.46"
Cooper Service Area,CATH MIC 150CM PSHP 90 2 TIP MRKR EXCELSIOR SL-10,"$4,584.46"
Cooper Service Area,CATH MIC 150CM PSHP J 2 TIP MRKR EXCELSIOR SL-10,"$4,584.46"
Cooper Service Area,CATH MIC 150CM PSHP S 2 TIP MRKR EXCELSIOR SL-10,"$4,584.46"
Cooper Service Area,CATH MIC 150CM STR 2 TIP MRKR EXCELSIOR SL-10,"$4,446.24"
Cooper Service Area,CATH MIC 150CM/18CM FLX STR 1 TIP EXCELSIOR XT-27,"$4,906.99"
Cooper Service Area,CATH MIC 150CM/6CM STR 1 TIP EXCELSIOR XT-27,"$4,906.99"
Cooper Service Area,CATH MIC HI FLO 135CM RENEGADE ,"$3,824.23"
Cooper Service Area,CATH MIC NEURO RNGD HF 150X10 DIST FLXB SEG,"$3,824.23"
Cooper Service Area,CATH MICRO 150/20CM RENEGADE HI-FLO,"$1,745.22"
Cooper Service Area,CATH MICRO 150CM 45 DEG DUAL PROWLER10,"$4,635.15"
Cooper Service Area,CATH MICRO 150CM DUAL MRKR STR PROWLER10,"$4,529.17"
Cooper Service Area,CATH MICRO 2.4X 130CM PROGREAT  SYS,"$1,600.50"
Cooper Service Area,CATH MICRO GUIDE XP ,$863.30
Cooper Service Area,CATH MNTRNG INTRCRAN PRSS ,"$2,983.62"
Cooper Service Area,CATH MP DRN MCLC 12FRX25CM ,$307.49
Cooper Service Area,CATH MP DRN MCLC 14FRX25CM ,$307.49
Cooper Service Area,CATH MP DRN MCLC 8.5FRX25CM ,$307.49
Cooper Service Area,CATH MUSHROOM 10FR ,$36.62
Cooper Service Area,CATH MUSHROOM 10FR ,$36.57
Cooper Service Area,CATH MUSHROOM 14FR ,$36.08
Cooper Service Area,CATH MUSHROOM 16FR ,$36.08
Cooper Service Area,CATH MUSHROOM 18FR ,$36.08
Cooper Service Area,CATH MUSHROOM 22FR ,$36.08
Cooper Service Area,CATH MUSHROOM 24FR ,$35.36
Cooper Service Area,CATH MUSHROOM 26FR ,$36.62
Cooper Service Area,CATH MUSHROOM 26FR ,$36.57
Cooper Service Area,CATH MUSHROOM 28FR ,$35.36
Cooper Service Area,CATH MUSHROOM 28FR ,$35.31
Cooper Service Area,CATH MUSHROOM 30 FR ,$36.08
Cooper Service Area,CATH MUSHROOM 32FR ,$35.36
Cooper Service Area,CATH MUSHROOM 34FR ,$36.08
Cooper Service Area,CATH MUSHROOM 36FR ,$35.36
Cooper Service Area,CATH MUSHROOM 36FR ,$35.31
Cooper Service Area,CATH MUSTANG 10X40MMX75CM BLN LWR XTRMT PERI OTW LPRFL ANGIO,$648.01
Cooper Service Area,CATH MUSTANG 10X60MMX135CM BLN LWR XTRMT PERI OTW LPRFL ANGIO,$648.01
Cooper Service Area,CATH MUSTANG 10X60MMX75CM BLN LWR XTRMT PERI OTW LPRFL ANGIO,$648.01
Cooper Service Area,CATH MUSTANG 10X80MMX135CM BLN LWR XTRMT PERI OTW LPRFL ANGIO,$648.01
Cooper Service Area,CATH MUSTANG 10X80MMX75CM BLN LWR XTRMT PERI OTW LPRFL ANGIO,$648.01
Cooper Service Area,CATH MUSTANG 12X40MMX75CM BLN LWR XTRMT PERI OTW LPRFL ANGIO,$648.01
Cooper Service Area,CATH MUSTANG 12X60MMX135CM BLN LWR XTRMT PERI OTW LPRFL ANGIO,$648.01
Cooper Service Area,CATH MUSTANG 12X60MMX75CM BLN LWR XTRMT PERI OTW LPRFL ANGIO,$648.01
Cooper Service Area,CATH MUSTANG 12X80MMX135CM BLN LWR XTRMT PERI OTW LPRFL ANGIO,$648.01
Cooper Service Area,CATH MUSTANG 12X80MMX75CM BLN LWR XTRMT PERI OTW LPRFL ANGIO,$648.01
Cooper Service Area,CATH MUSTANG 4X120MMX135CM BLN LWR XTRMT PERI OTW LPRFL ANGIO,$648.01
Cooper Service Area,CATH MUSTANG 4X200MMX135CM BLN LWR XTRMT PERI OTW LPRFL ANGIO,$705.68
Cooper Service Area,CATH MUSTANG 4X20MMX75CM BLN LWR XTRMT PERI OTW LPRFL ANGIO,$648.01
Cooper Service Area,CATH MUSTANG 4X40MMX75CM BLN LWR XTRMT PERI OTW LPRFL ANGIO,$648.01
Cooper Service Area,CATH MUSTANG 4X60MMX75CM BLN LWR XTRMT PERI OTW LPRFL ANGIO,$648.01
Cooper Service Area,CATH MUSTANG 5X120MMX135CM BLN LWR XTRMT PERI OTW LPRFL ANGIO,$648.01
Cooper Service Area,CATH MUSTANG 5X20MMX75CM BLN LWR XTRMT PERI OTW LPRFL ANGIO,$648.01
Cooper Service Area,CATH MUSTANG 5X40MMX75CM BLN LWR XTRMT PERI OTW LPRFL ANGIO,$648.01
Cooper Service Area,CATH MUSTANG 5X60MMX75CM BLN LWR XTRMT PERI OTW LPRFL ANGIO,$648.01
Cooper Service Area,CATH MUSTANG 5X80MMX75CM BLN LWR XTRMT PERI OTW LPRFL ANGIO,$648.01
Cooper Service Area,CATH MUSTANG 6X120MMX135CM BLN LWR XTRMT PERI OTW LPRFL ANGIO,$648.01
Cooper Service Area,CATH MUSTANG 6X200MMX135CM BLN LWR XTRMT PERI OTW LPRFL ANGIO,$648.01
Cooper Service Area,CATH MUSTANG 6X20MMX75CM BLN LWR XTRMT PERI OTW LPRFL ANGIO,$648.01
Cooper Service Area,CATH MUSTANG 6X40MMX75CM BLN LWR XTRMT PERI OTW LPRFL ANGIO,$648.01
Cooper Service Area,CATH MUSTANG 6X60MMX75CM BLN LWR XTRMT PERI OTW LPRFL ANGIO,$648.01
Cooper Service Area,CATH MUSTANG 6X80MMX75CM BLN LWR XTRMT PERI OTW LPRFL ANGIO,$648.01
Cooper Service Area,CATH MUSTANG 7X120MMX135CM BLN LWR XTRMT PERI OTW LPRFL ANGIO,$648.01
Cooper Service Area,CATH MUSTANG 7X200MMX135CM BLN LWR XTRMT PERI OTW LPRFL ANGIO,$648.01
Cooper Service Area,CATH MUSTANG 7X40MMX75CM BLN LWR XTRMT PERI OTW LPRFL ANGIO,$648.01
Cooper Service Area,CATH MUSTANG 7X60MMX75CM BLN LWR XTRMT PERI OTW LPRFL ANGIO,$648.01
Cooper Service Area,CATH MUSTANG 7X80MMX75CM BLN LWR XTRMT PERI OTW LPRFL ANGIO,$648.01
Cooper Service Area,CATH MUSTANG 8X40MMX135CM BLN LWR XTRMT PERI OTW LPRFL ANGIO,$648.01
Cooper Service Area,CATH MUSTANG 8X40MMX75CM BLN LWR XTRMT PERI OTW LPRFL ANGIO,$648.01
Cooper Service Area,CATH MUSTANG 8X60MMX135CM BLN LWR XTRMT PERI OTW LPRFL ANGIO,$648.01
Cooper Service Area,CATH MUSTANG 8X60MMX75CM BLN LWR XTRMT PERI OTW LPRFL ANGIO,$648.01
Cooper Service Area,CATH MUSTANG 8X80MMX135CM BLN LWR XTRMT PERI OTW LPRFL ANGIO,$648.01
Cooper Service Area,CATH MUSTANG 8X80MMX75CM BLN LWR XTRMT PERI OTW LPRFL ANGIO,$648.01
Cooper Service Area,CATH MUSTANG 9X60MMX135CM BLN LWR XTRMT PERI OTW LPRFL ANGIO,$648.01
Cooper Service Area,CATH MUSTANG 9X80MMX135CM BLN LWR XTRMT PERI OTW LPRFL ANGIO,$648.01
Cooper Service Area,CATH NAVARRE 12FR DRAINAGE ,$708.10
Cooper Service Area,CATH NAVISTAR 7F 4MM (NS7TFL174HS),"$10,529.35"
Cooper Service Area,CATH NAVISTAR DL 4MM (NS7TDL174HS),"$10,529.35"
Cooper Service Area,CATH NPHSTM 10MMX15CM XFRC N30 BLN STR ULT LOPRFL DIL W/ INFL,$916.65
Cooper Service Area,CATH NPHSTM 10MMX15CM XFRC N30 BLN STR ULT LOPRFL DIL W/ INFL,"$1,152.36"
Cooper Service Area,CATH NPHSTM 8MMX5CM XFRC BLN ULT LOPRFL W/ INFL DEV BVL,$916.65
Cooper Service Area,CATH OCL BLN 4.0MM X 11MM SCEPTER XC X-TRA COMPLIANT,"$8,245.00"
Cooper Service Area,CATH OCL BLN 4MM X 10MM SCEPTER C,"$6,790.00"
Cooper Service Area,CATH OCL BLN 4MM X 15MM SCEPTER C,"$6,790.00"
Cooper Service Area,CATH OCL BLN 4MM X 20MM SCEPTER C,"$6,790.00"
Cooper Service Area,CATH OCTAPOLAR 7F (2027BL) ,"$3,395.00"
Cooper Service Area,CATH OMNIFLUSH 5FRX65CMX.038 SOFTU NON-BRAIDED,$67.90
Cooper Service Area,CATH OPN TIP 7FR URET DIL BLN ,$541.26
Cooper Service Area,CATH OPTA PRO 10X14 ,$683.85
Cooper Service Area,CATH OPTA PRO 12X4 ,$683.85
Cooper Service Area,CATH OPTI-PLAST 5FR 100X4 10MM ,$965.15
Cooper Service Area,CATH OPTI-PLAST 5FR 100X4 8MM ,$965.15
Cooper Service Area,CATH OTW PTA 5 X 200 X 150 POWERCROSS .018,$679.00
Cooper Service Area,CATH OTW PTA 5 X 200 X 150 POWERCROSS .018,"$1,455.00"
Cooper Service Area,CATH OUTBACK 120CM RE-ENTRY ,"$9,578.75"
Cooper Service Area,CATH PACEPORT OXIMETRY TD SWAN-GANZ,$825.76
Cooper Service Area,CATH PCNG 110CM 5FR 1CM SPC SS BIP BLN FLW AST TEMP 2MM,$686.52
Cooper Service Area,CATH PERC VALVULOPLASTY 28X4 TRNSL,"$3,790.81"
Cooper Service Area,CATH PERI 3.5X40MMX155CM OTW ANGIOSCULPT,"$4,728.75"
Cooper Service Area,CATH PERI 5.0X40MMX137CM OTW ANGIOSCULPT,"$4,728.75"
Cooper Service Area,CATH PERIPH MULTI LUM  18 GA ,$50.44
Cooper Service Area,CATH PERITONEAL SM OPN END ,$865.34
Cooper Service Area,CATH PERITONEAL/VENTRICULR  [823072],"$4,200.10"
Cooper Service Area,CATH PERMACATH 45CM DUAL LUMEN  [31692001],$615.66
Cooper Service Area,CATH PICC 5F DL PWR SOLO ,$679.78
Cooper Service Area,CATH PICC 5F POWER TL SOLO ,$50.20
Cooper Service Area,CATH PICC PWR DUAL 5FR W/MICRO-INTRO KIT,$586.66
Cooper Service Area,CATH PIGTAIL 4 FR X 90 CM ,$135.80
Cooper Service Area,CATH POLAR .014 - 6/60/135 ,"$3,982.63"
Cooper Service Area,CATH POWERFLEX P3 10X4 ,$557.75
Cooper Service Area,CATH PRFSN 20FRX14.5X.25IN GW STYLT PRFR TIP SIL,$154.91
Cooper Service Area,CATH PROGREAT 2.8X 130 R/O MARKER,"$1,600.50"
Cooper Service Area,CATH PTA 22CM 4FR 150CM LGTH RX DILATION,"$1,721.75"
Cooper Service Area,CATH PTA BLN 5.0X200MM INPACT ADMIRAL,"$9,433.25"
Cooper Service Area,CATH PTA BLN 5.0X250MM INPACT ADMIRAL [ADM05025013P],"$10,379.00"
Cooper Service Area,CATH PTA BLN 6.0X250MM INPACT ADMIRAL,"$10,379.00"
Cooper Service Area,CATH PTA BLN PACLI COAT 6X80 ADMIRAL,"$6,062.50"
Cooper Service Area,CATH PTA BLN PACLI COATED 5X40 ADMIRAL,"$6,062.50"
Cooper Service Area,CATH PTA BLN PACLI COATED 6X40 ADMIRAL,"$6,062.50"
Cooper Service Area,CATH PTA DILATION ,$683.85
Cooper Service Area,CATH PTCA 150CM 150X4 4F PEBAX BIOSLIDE OTW SMCPNT TPR,$705.68
Cooper Service Area,CATH PTCA 4F 144CM 20X4MM NYBAX LUBRICIOUS BIOSLIDE RX,$917.38
Cooper Service Area,CATH PTCA 4X20X80 BLN PERI RPD XCHNG STERLING MNRL,$705.68
Cooper Service Area,CATH PTCA 4X30X80 BLN DIL PERI STERLING MNRL,$705.68
Cooper Service Area,CATH PTCA 5F 145CM 40X2 4F NYBAX LUBRICIOUS BIOSLIDE RX,$917.38
Cooper Service Area,CATH PTCA 5F 146CM 40X2.5 4F NYBAX LUBRICIOUS BIOSLIDE RX,$917.38
Cooper Service Area,CATH PTCA 5F 146CM 40X3MM 4F NYBAX LUBRICIOUS BIOSLIDE RX,$917.38
Cooper Service Area,CATH PTCA 5X20X80 BLN PERI RPD XCHNG STERLING MNRL,$705.68
Cooper Service Area,CATH PTCA 5X30X80 BLN DIL PERI STERLING MNRL,$705.68
Cooper Service Area,CATH PTCA 6F 142CM 20X1.5 4F NYBAX LUBRICIOUS BIOSLIDE OTW,$917.38
Cooper Service Area,CATH PTCA 6F 143CM 20X2.5 4F NYBAX LUBRICIOUS BIOSLIDE OTW,$917.38
Cooper Service Area,CATH PTCA 6F 143CM 20X3 4F NYBAX LUBRICIOUS BIOSLIDE OTW,$917.38
Cooper Service Area,CATH PTCA 6F 150CM 100X2 4F OTW LOPRFL COYOTE,$917.38
Cooper Service Area,CATH PTCA 6F 150CM 100X2.5 4F OTW LOPRFL COYOTE,$917.38
Cooper Service Area,CATH PTCA 6F 150CM 100X3 4F OTW LOPRFL COYOTE,$917.38
Cooper Service Area,CATH PTCA 6F 150CM 100X4 4F OTW LOPRFL COYOTE,$917.38
Cooper Service Area,CATH PTCA 6F 150CM 120X2 4F OTW LOPRFL COYOTE,$917.38
Cooper Service Area,CATH PTCA 6F 150CM 120X2.5 4F OTW LOPRFL COYOTE,$917.38
Cooper Service Area,CATH PTCA 6F 150CM 150X2 4F OTW LOPRFL COYOTE,$917.38
Cooper Service Area,CATH PTCA 6F 150CM 150X2.5 4F OTW LOPRFL COYOTE,$917.38
Cooper Service Area,CATH PTCA 6F 150CM 150X4 4F OTW LOPRFL COYOTE,$917.38
Cooper Service Area,CATH PTCA 6F 150CM 20X2.5 4F PEBAX BIOSLIDE OTW SMCPNT TPR,$705.68
Cooper Service Area,CATH PTCA 6F 150CM 20X3 4F PEBAX BIOSLIDE OTW SMCPNT TPR,$705.68
Cooper Service Area,CATH PTCA 6F 150CM 220X2 4F OTW LOPRFL COYOTE,$917.38
Cooper Service Area,CATH PTCA 6F 150CM 220X2 4F PEBAX BIOSLIDE OTW SMCPNT TPR,$705.68
Cooper Service Area,CATH PTCA 6F 150CM 220X2.5 4F OTW LOPRFL COYOTE,$917.38
Cooper Service Area,CATH PTCA 6F 150CM 220X2.5 4F PEBAX BIOSLIDE OTW SMCPNT TPR,$705.68
Cooper Service Area,CATH PTCA 6F 150CM 220X3 4F PEBAX BIOSLIDE OTW SMCPNT TPR,$705.68
Cooper Service Area,CATH PTCA 6F 150CM 220X4 4F PEBAX BIOSLIDE OTW SMCPNT TPR,$705.68
Cooper Service Area,CATH PTCA 6F 150CM 40X1.5 4F RX MNRL LOPRFL COYOTE,$917.38
Cooper Service Area,CATH PTCA 6F 150CM 40X2.5 4F PEBAX BIOSLIDE OTW SMCPNT TPR,$705.68
Cooper Service Area,CATH PTCA 6F 150CM 60X2 4F OTW LOPRFL COYOTE,$917.38
Cooper Service Area,CATH PTCA 6F 150CM 60X2.5 4F PEBAX BIOSLIDE OTW SMCPNT TPR,$705.68
Cooper Service Area,CATH PTCA 6F 150CM 80X2 4F OTW LOPRFL COYOTE,$917.38
Cooper Service Area,CATH PTCA 6F 150CM 80X2.5 4F OTW LOPRFL COYOTE,$917.38
Cooper Service Area,CATH PTCA 6F 150CM 80X3 4F OTW LOPRFL COYOTE,$705.68
Cooper Service Area,CATH PTCA 6F 150CM 80X3 4F RX MNRL LOPRFL COYOTE,$917.38
Cooper Service Area,CATH PTCA 6F 150CM 80X4 4F RX MNRL LOPRFL COYOTE,$917.38
Cooper Service Area,CATH PTCA 6F 80CM 40X6 4F PEBAX BIOSLIDE OTW SMCPNT TPR,$705.68
Cooper Service Area,CATH PTCA 6F 80CM 40X7 4F PEBAX BIOSLIDE OTW SMCPNT TPR [H74939032704080],$705.68
Cooper Service Area,CATH PTCA 6F 80CM 40X8 4F PEBAX BIOSLIDE OTW SMCPNT TPR,$705.68
Cooper Service Area,CATH PTCA 6X20X80 BLN PERI RPD XCHNG STERLING MNRL,$705.68
Cooper Service Area,CATH PTCA 6X30X80 BLN DIL PERI STERLING MNRL,$705.68
Cooper Service Area,CATH PTCA 7F 150CM 120X6 5F PEBAX BIOSLIDE OTW SMCPNT TPR,$705.68
Cooper Service Area,CATH PTCA 7F 150CM 120X7 5F PEBAX BIOSLIDE OTW SMCPNT TPR,$705.68
Cooper Service Area,CATH PTCA 7F 150CM 200X5 5F PEBAX BIOSLIDE OTW SMCPNT TPR,$705.68
Cooper Service Area,CATH PTCA 7F 150CM 200X6 5F PEBAX BIOSLIDE OTW SMCPNT TPR,$705.68
Cooper Service Area,CATH PTCA 7F 150CM 220X5 5F PEBAX BIOSLIDE OTW SMCPNT TPR,$705.68
Cooper Service Area,CATH PTCA 7F 150CM 220X6 5F PEBAX BIOSLIDE OTW SMCPNT TPR,$705.68
Cooper Service Area,CATH PTCA 7F 80CM 20X9 5F PEBAX BIOSLIDE OTW SMCPNT TPR,$705.68
Cooper Service Area,CATH PTCA 7F 80CM 40X9 5F PEBAX BIOSLIDE OTW SMCPNT TPR,$705.68
Cooper Service Area,CATH PTCA 7X20X80 BLN PERI RPD XCHNG STERLING MNRL,$705.68
Cooper Service Area,CATH PTCA 7X30X80 BLN DIL PERI STERLING MNRL,$705.68
Cooper Service Area,CATH PTCA 7X40X80 BLN DIL PERI STERLING MNRL,$705.68
Cooper Service Area,CATH PV 0.018 VISIONS PERIPH ,"$3,395.00"
Cooper Service Area,CATH PV 8.2 VISIONS AAA ,"$4,728.75"
Cooper Service Area,CATH PWR PORT 8FR 29MM LOW PRO W/ISP [1808060],"$1,479.25"
Cooper Service Area,CATH PWR PORT STD 8FR 32MM MRI  [1808000],"$1,479.25"
Cooper Service Area,CATH PWRCROSS 4MM X 80MM X 4FR ,$970.00
Cooper Service Area,CATH QUICK CROSS .018 X 90 CM ,$809.95
Cooper Service Area,CATH QUICK CROSS .035 X 135 CM ,$809.95
Cooper Service Area,CATH QUICK CROSS .035 X 90 CM ,$809.95
Cooper Service Area,CATH QUICK-CROSS SUPPORT 4FR ,$809.95
Cooper Service Area,CATH RACZ CAUD-A-KATH EPIDURAL ,$294.78
Cooper Service Area,CATH RAD ART 20G X 1.5 W/ WIRE ,$128.28
Cooper Service Area,CATH RED RUBBER 14FR ,$1.60
Cooper Service Area,CATH RED RUBBER 8FR ,$1.60
Cooper Service Area,CATH RENEGADE HI-FLO MICRO ,"$1,341.36"
Cooper Service Area,CATH REPERFUSION 4 MAX ,"$8,099.50"
Cooper Service Area,CATH RESOLVE DRIANAGE 8.5 FR ,$321.65
Cooper Service Area,CATH RESOLVE DRN 6.5FR 15CM ,$321.65
Cooper Service Area,CATH RF TC 4MM NAVISTAR BI DIR ,"$11,475.10"
Cooper Service Area,CATH RIC RAP INF 7 FR SCALP GW ,$49.62
Cooper Service Area,CATH RIC RAP INF 8.5FR SCLP GW ,$47.82
Cooper Service Area,CATH RUTNER SUPRA 12FR ,$363.12
Cooper Service Area,CATH RUTNER SUPRA 12FR ,$351.38
Cooper Service Area,CATH RX 4.0X20MMX145CM AVIATOR BLN,"$1,382.25"
Cooper Service Area,CATH RX 4.0X30MMX145CM AVIATOR BLN,"$1,382.25"
Cooper Service Area,CATH RX 4.0X40MMX145CM AVIATOR BLN,"$1,382.25"
Cooper Service Area,CATH RX 5.0X20MMX145CM AVIATOR BLN,"$1,382.25"
Cooper Service Area,CATH RX 5.0X30MMX145CM AVIATOR BLN,"$1,382.25"
Cooper Service Area,CATH RX 5.0X40MMX145CM AVIATOR BLN,"$1,382.25"
Cooper Service Area,CATH RX 6.0X20MMX145CM AVIATOR BLN,"$1,382.25"
Cooper Service Area,CATH RX 6.0X30MMX145CM AVIATOR BLN,"$1,382.25"
Cooper Service Area,CATH RX 6.0X40MMX145CM AVIATOR BLN,"$1,382.25"
Cooper Service Area,CATH RX 7.0X20MMX145CM AVIATOR BLN,"$1,382.25"
Cooper Service Area,CATH RX 7.0X30MMX145CM AVIATOR BLN [4247030W],"$1,382.25"
Cooper Service Area,CATH SABRE 10.0X20MMX90CM BLNDIL LOPRO 3.9-4.7FR HUB OTW,"$1,382.25"
Cooper Service Area,CATH SABRE 10.0X40MMX90CM BLNDIL LOPRO 3.9-4.7FR HUB OTW,"$1,382.25"
Cooper Service Area,CATH SABRE 2.0X100MMX150CM BLNDIL LOPRO 3.9-4.7FR HUB OTW,"$1,382.25"
Cooper Service Area,CATH SABRE 2.0X200MMX150CM BLNDIL LOPRO 3.9-4.7FR HUB OTW,"$1,527.75"
Cooper Service Area,CATH SABRE 2.0X20MMX150CM BLNDIL LOPRO 3.9-4.7FR HUB OTW,"$1,382.25"
Cooper Service Area,CATH SABRE 2.0X250MMX150CM BLNDIL LOPRO 3.9-4.7FR HUB OTW,"$1,527.75"
Cooper Service Area,CATH SABRE 2.0X40MMX150CM BLNDIL LOPRO 3.9-4.7FR HUB OTW,"$1,382.25"
Cooper Service Area,CATH SABRE 2.0X60MMX150CM BLNDIL LOPRO 3.9-4.7FR HUB OTW,"$1,382.25"
Cooper Service Area,CATH SABRE 2.0X80MMX150CM BLNDIL LOPRO 3.9-4.7FR HUB OTW,"$1,382.25"
Cooper Service Area,CATH SABRE 3.0X100MMX150CM BLNDIL LOPRO 3.9-4.7FR HUB OTW,"$1,382.25"
Cooper Service Area,CATH SABRE 3.0X150MMX150CM BLNDIL LOPRO 3.9-4.7FR HUB OTW,"$1,527.75"
Cooper Service Area,CATH SABRE 3.0X20MMX150CM BLNDIL LOPRO 3.9-4.7FR HUB OTW,"$1,382.25"
Cooper Service Area,CATH SABRE 3.0X300MMX150CM BLNDIL LOPRO 3.9-4.7FR HUB OTW,"$1,527.75"
Cooper Service Area,CATH SABRE 3.0X40MMX150CM BLNDIL LOPRO 3.9-4.7FR HUB OTW,"$1,382.25"
Cooper Service Area,CATH SABRE 3.0X60MMX150CM BLNDIL LOPRO 3.9-4.7FR HUB OTW,"$1,382.25"
Cooper Service Area,CATH SABRE 3.0X80MMX150CM BLNDIL LOPRO 3.9-4.7FR HUB OTW,"$1,382.25"
Cooper Service Area,CATH SABRE 4.0X100MMX150CM BLNDIL LOPRO 3.9-4.7FR HUB OTW,"$1,382.25"
Cooper Service Area,CATH SABRE 4.0X150MMX150CM BLNDIL LOPRO 3.9-4.7FR HUB OTW,"$1,527.75"
Cooper Service Area,CATH SABRE 4.0X200MMX150CM BLNDIL LOPRO 3.9-4.7FR HUB OTW,"$1,527.75"
Cooper Service Area,CATH SABRE 4.0X20MMX150CM BLNDIL LOPRO 3.9-4.7FR HUB OTW,"$1,382.25"
Cooper Service Area,CATH SABRE 4.0X250MMX150CM BLNDIL LOPRO 3.9-4.7FR HUB OTW,"$1,527.75"
Cooper Service Area,CATH SABRE 4.0X300MMX150CM BLNDIL LOPRO 3.9-4.7FR HUB OTW,"$1,527.75"
Cooper Service Area,CATH SABRE 4.0X40MMX150CM BLNDIL LOPRO 3.9-4.7FR HUB OTW [48004004X],"$1,382.25"
Cooper Service Area,CATH SABRE 4.0X60MMX150CM BLNDIL LOPRO 3.9-4.7FR HUB OTW,"$1,382.25"
Cooper Service Area,CATH SABRE 5.0X100MMX150CM BLNDIL LOPRO 3.9-4.7FR HUB OTW,"$1,382.25"
Cooper Service Area,CATH SABRE 5.0X150MMX150CM BLNDIL LOPRO 3.9-4.7FR HUB OTW,"$1,527.75"
Cooper Service Area,CATH SABRE 5.0X200MMX150CM BLNDIL LOPRO 3.9-4.7FR HUB OTW,"$1,527.75"
Cooper Service Area,CATH SABRE 5.0X20MMX150CM BLNDIL LOPRO 3.9-4.7FR HUB OTW,"$1,382.25"
Cooper Service Area,CATH SABRE 5.0X300MMX150CM BLNDIL LOPRO 3.9-4.7FR HUB OTW,"$1,527.75"
Cooper Service Area,CATH SABRE 5.0X40MMX150CM BLNDIL LOPRO 3.9-4.7FR HUB OTW,"$1,382.25"
Cooper Service Area,CATH SABRE 5.0X60MMX150CM BLNDIL LOPRO 3.9-4.7FR HUB OTW,"$1,382.25"
Cooper Service Area,CATH SABRE 5.0X80MMX150CM BLNDIL LOPRO 3.9-4.7FR HUB OTW,"$1,382.25"
Cooper Service Area,CATH SABRE 6.0X100MMX150CM BLNDIL LOPRO 3.9-4.7FR HUB OTW,"$1,382.25"
Cooper Service Area,CATH SABRE 6.0X150MMX150CM BLNDIL LOPRO 3.9-4.7FR HUB OTW,"$1,527.75"
Cooper Service Area,CATH SABRE 6.0X20MMX150CM BLNDIL LOPRO 3.9-4.7FR HUB OTW,"$1,382.25"
Cooper Service Area,CATH SABRE 6.0X250MMX150CM BLNDIL LOPRO 3.9-4.7FR HUB OTW,"$1,527.75"
Cooper Service Area,CATH SABRE 6.0X300MMX150CM BLNDIL LOPRO 3.9-4.7FR HUB OTW,"$1,527.75"
Cooper Service Area,CATH SABRE 6.0X40MMX150CM BLNDIL LOPRO 3.9-4.7FR HUB OTW,"$1,382.25"
Cooper Service Area,CATH SABRE 6.0X60MMX150CM BLNDIL LOPRO 3.9-4.7FR HUB OTW,"$1,382.25"
Cooper Service Area,CATH SABRE 7.0X100MMX150CM BLNDIL LOPRO 3.9-4.7FR HUB OTW,"$1,382.25"
Cooper Service Area,CATH SABRE 7.0X20MMX150CM BLNDIL LOPRO 3.9-4.7FR HUB OTW,"$1,382.25"
Cooper Service Area,CATH SABRE 7.0X40MMX150CM BLNDIL LOPRO 3.9-4.7FR HUB OTW,"$1,382.25"
Cooper Service Area,CATH SABRE 7.0X60MMX150CM BLNDIL LOPRO 3.9-4.7FR HUB OTW,"$1,382.25"
Cooper Service Area,CATH SABRE 8.0X40MMX90CM BLNDIL LOPRO 3.9-4.7FR HUB OTW,"$1,382.25"
Cooper Service Area,CATH SABRE 9.0X20MMX90CM BLNDIL LOPRO 3.9-4.7FR HUB OTW,"$1,382.25"
Cooper Service Area,CATH SABRE 9.0X40MMX90CM BLNDIL LOPRO 3.9-4.7FR HUB OTW,"$1,382.25"
Cooper Service Area,CATH SCHON XL TEMP 24 CM ,$412.25
Cooper Service Area,CATH SCHON XL-TEMP 15CM ,$412.25
Cooper Service Area,CATH SILASTIC 18F GREEN 5CC BALLOON,$22.55
Cooper Service Area,CATH SIMMONS  2 GLIDE 5FRX100 ,$245.65
Cooper Service Area,CATH SIMMONS (1) 5 FR X 100 CM ,$245.65
Cooper Service Area,CATH SIZING 5 FR 100CM ,$533.50
Cooper Service Area,CATH SIZING 5 FR 70CM ,$533.50
Cooper Service Area,CATH SLIP 5F 125CM ,$145.50
Cooper Service Area,CATH SLIP 6.5-35-125 H1 BEACON TIP,$309.19
Cooper Service Area,CATH SLIP 6.5-35-125 JB1 BEACON TIP,$309.19
Cooper Service Area,CATH SLIP BEACON TIP 4.0-38 ANGIOGRAPHIC,$315.25
Cooper Service Area,CATH SLIP BEACON TIP 5.0-38 ANGIOGRAPHIC,$145.50
Cooper Service Area,CATH SLIP BEACON TIP 5-38-100 ANGIOGRAPHIC,$145.50
